category,image_path,date,well,time_int,nd2_series_num,nd2_path
Bad Images,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20250912/images/20250912_B10/20250912_B10_ch00_t0092.jpg,20250912,B10,92,79,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/raw_image_data/YX1/20250912/20250912_WT_tricane_serial_dilution_experiment.nd2
Bad Images,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20250912/images/20250912_B10/20250912_B10_ch00_t0096.jpg,20250912,B10,96,79,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/raw_image_data/YX1/20250912/20250912_WT_tricane_serial_dilution_experiment.nd2
Bad Images,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20250912/images/20250912_B10/20250912_B10_ch00_t0097.jpg,20250912,B10,97,79,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/raw_image_data/YX1/20250912/20250912_WT_tricane_serial_dilution_experiment.nd2
Bad Images,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20250912/images/20250912_C04/20250912_C04_ch00_t0112.jpg,20250912,C04,112,30,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/raw_image_data/YX1/20250912/20250912_WT_tricane_serial_dilution_experiment.nd2
Okay Images,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20250912/images/20250912_C04/20250912_C04_ch00_t0111.jpg,20250912,C04,111,30,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/raw_image_data/YX1/20250912/20250912_WT_tricane_serial_dilution_experiment.nd2
Okay Images,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20250912/images/20250912_C04/20250912_C04_ch00_t0024.jpg,20250912,C04,24,30,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/raw_image_data/YX1/20250912/20250912_WT_tricane_serial_dilution_experiment.nd2
Okay Images,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20250912/images/20250912_C04/20250912_C04_ch00_t0031.jpg,20250912,C04,31,30,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/raw_image_data/YX1/20250912/20250912_WT_tricane_serial_dilution_experiment.nd2
Great Images,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20250912/images/20250912_C04/20250912_C04_ch00_t0028.jpg,20250912,C04,28,30,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/raw_image_data/YX1/20250912/20250912_WT_tricane_serial_dilution_experiment.nd2
Great Images,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20250912/images/20250912_F02/20250912_F02_ch00_t0005.jpg,20250912,F02,5,11,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/raw_image_data/YX1/20250912/20250912_WT_tricane_serial_dilution_experiment.nd2
Great Images,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20250912/images/20250912_G09/20250912_G09_ch00_t0031.jpg,20250912,G09,31,71,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/raw_image_data/YX1/20250912/20250912_WT_tricane_serial_dilution_experiment.nd2
