feature,coefficient
z_mu_b_90,4.070353551340394
z_mu_b_39,3.7179335706560783
z_mu_b_58,3.3409730968872102
z_mu_b_37,2.0150404209744357
z_mu_b_78,1.9108186235854785
z_mu_b_75,1.7108361501745388
z_mu_b_56,1.296670468490657
z_mu_b_41,1.2873364626289858
z_mu_b_73,1.145515447453769
z_mu_b_85,1.1092013583720979
z_mu_b_69,1.069663840749009
z_mu_b_30,0.9679724622514082
z_mu_b_81,0.940135163276858
z_mu_b_43,0.8766104309252446
z_mu_b_22,0.8577668054550048
z_mu_b_42,0.8398590839872904
z_mu_b_80,0.6833434404249045
z_mu_b_44,0.6690963242876979
z_mu_b_83,0.6665251005298295
z_mu_b_91,0.6507624536570101
z_mu_b_53,0.6479666381052982
z_mu_b_36,0.5012072588718474
z_mu_b_21,0.47027261696922484
z_mu_b_92,0.4531265404979772
z_mu_b_51,0.4166167072501259
z_mu_b_23,0.3934523505218851
z_mu_b_63,0.3852212571444443
z_mu_b_74,0.36411787209541807
z_mu_b_93,0.35691273907463167
z_mu_b_94,0.3508456699429553
z_mu_b_67,0.33378078486293494
z_mu_b_54,0.33225982268949783
z_mu_b_57,0.3079194725207203
z_mu_b_48,0.23068480675276962
z_mu_b_59,0.2130802608908482
z_mu_b_35,0.20841096296856063
z_mu_b_49,0.17550794339036987
z_mu_b_65,0.06946230151640441
z_mu_b_52,0.05067685071863118
z_mu_b_60,0.005445665024336372
z_mu_b_32,-0.06638201891858596
z_mu_b_70,-0.09476525246089958
z_mu_b_45,-0.12988611940016398
z_mu_b_87,-0.1448614258607202
z_mu_b_86,-0.20815399137829138
z_mu_b_34,-0.2309016293737651
z_mu_b_82,-0.24139551694214192
z_mu_b_79,-0.2473067831917382
z_mu_b_97,-0.2600636800326924
z_mu_b_62,-0.26551139024136367
z_mu_b_95,-0.27188365812485027
z_mu_b_31,-0.29925221391913004
z_mu_b_72,-0.3040421868749142
z_mu_b_25,-0.3171506064500965
z_mu_b_50,-0.32724713399803984
z_mu_b_33,-0.41441885255099375
z_mu_b_26,-0.4671556952183529
z_mu_b_28,-0.4875128976691891
z_mu_b_38,-0.5129432509426651
z_mu_b_40,-0.5390928848980617
z_mu_b_68,-0.5758256789233263
z_mu_b_84,-0.5864945795155684
z_mu_b_88,-0.6495559351318596
z_mu_b_96,-0.683736857166304
z_mu_b_98,-0.7605012019061701
z_mu_b_99,-0.7895653888400823
z_mu_b_71,-0.830330072049605
z_mu_b_27,-0.8761265295823127
z_mu_b_55,-0.9115495544825168
z_mu_b_46,-0.9678232656737894
z_mu_b_64,-1.099675007750872
z_mu_b_47,-1.1920228579605148
z_mu_b_20,-1.2275322269655098
z_mu_b_77,-1.2286405318833928
z_mu_b_76,-1.2869063591598273
z_mu_b_89,-1.424571866351005
z_mu_b_24,-1.48003404996727
z_mu_b_66,-1.6557863745765757
z_mu_b_29,-1.7999776263956995
z_mu_b_61,-2.741595489345216
