well_id,well,nd2_series_num,microscope,time_int,Height (um),Width (um),Height (px),Width (px),BF Channel,Objective,Time (s),experiment_date,medium,genotype,chem_perturbation,start_age_hpf,embryos_per_well,temperature,well_qc_flag,Time Rel (s)
20240418_A01,A01,1,YX1,0,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,0.9772776351561769,20240418,MC_01,wik,,12,2,,0,0.0
20240418_A01,A01,1,YX1,1,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,2071.22946269375,20240418,MC_01,wik,,12,2,,0,2070.252185058594
20240418_A01,A01,1,YX1,2,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,3940.9020386214843,20240418,MC_01,wik,,12,2,,0,3939.9247609863282
20240418_A01,A01,1,YX1,3,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,5816.581232713281,20240418,MC_01,wik,,12,2,,0,5815.603955078124
20240418_A01,A01,1,YX1,4,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,7693.287330613672,20240418,MC_01,wik,,12,2,,0,7692.310052978515
20240418_A01,A01,1,YX1,5,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,9571.378302537501,20240418,MC_01,wik,,12,2,,0,9570.401024902345
20240418_A01,A01,1,YX1,6,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,11438.629292527736,20240418,MC_01,wik,,12,2,,0,11437.65201489258
20240418_A01,A01,1,YX1,7,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,13311.240881639063,20240418,MC_01,wik,,12,2,,0,13310.263604003907
20240418_A01,A01,1,YX1,8,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,15184.975027635157,20240418,MC_01,wik,,12,2,,0,15183.99775
20240418_A01,A01,1,YX1,9,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,17059.158272508204,20240418,MC_01,wik,,12,2,,0,17058.180994873048
20240418_A01,A01,1,YX1,10,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,18935.789291551173,20240418,MC_01,wik,,12,2,,0,18934.812013916016
20240418_A01,A01,1,YX1,11,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,20816.596128709374,20240418,MC_01,wik,,12,2,,0,20815.618851074218
20240418_A01,A01,1,YX1,12,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,22689.30411552578,20240418,MC_01,wik,,12,2,,0,22688.326837890625
20240418_A01,A01,1,YX1,13,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,24564.037258592187,20240418,MC_01,wik,,12,2,,0,24563.05998095703
20240418_A01,A01,1,YX1,14,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,26440.081029588284,20240418,MC_01,wik,,12,2,,0,26439.103751953127
20240418_A01,A01,1,YX1,15,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,28315.331832566797,20240418,MC_01,wik,,12,2,,0,28314.35455493164
20240418_A01,A01,1,YX1,16,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,30191.148815476954,20240418,MC_01,wik,,12,2,,0,30190.171537841798
20240418_A01,A01,1,YX1,17,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,32064.73920951992,20240418,MC_01,wik,,12,2,,0,32063.761931884765
20240418_A01,A01,1,YX1,18,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,33937.14193754727,20240418,MC_01,wik,,12,2,,0,33936.164659912116
20240418_A01,A01,1,YX1,19,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,35808.906418504295,20240418,MC_01,wik,,12,2,,0,35807.92914086914
20240418_A01,A01,1,YX1,20,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,37676.58591752774,20240418,MC_01,wik,,12,2,,0,37675.60863989258
20240418_A01,A01,1,YX1,21,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,39554.090912644926,20240418,MC_01,wik,,12,2,,0,39553.11363500977
20240418_A01,A01,1,YX1,22,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,41426.3317375961,20240418,MC_01,wik,,12,2,,0,41425.354459960945
20240418_A01,A01,1,YX1,23,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,43304.96849467617,20240418,MC_01,wik,,12,2,,0,43303.99121704102
20240418_A01,A01,1,YX1,24,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,45178.34532158047,20240418,MC_01,wik,,12,2,,0,45177.36804394532
20240418_A01,A01,1,YX1,25,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,47048.73757963711,20240418,MC_01,wik,,12,2,,0,47047.76030200196
20240418_A01,A01,1,YX1,26,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,48919.84274369961,20240418,MC_01,wik,,12,2,,0,48918.86546606446
20240418_A01,A01,1,YX1,27,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,50788.58503471524,20240418,MC_01,wik,,12,2,,0,50787.607757080084
20240418_A01,A01,1,YX1,28,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,52658.50451249844,20240418,MC_01,wik,,12,2,,0,52657.527234863286
20240418_A01,A01,1,YX1,29,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,54531.415324510155,20240418,MC_01,wik,,12,2,,0,54530.438046875
20240418_A01,A01,1,YX1,30,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,56398.93012651211,20240418,MC_01,wik,,12,2,,0,56397.95284887696
20240418_A01,A01,1,YX1,31,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,58272.54407548672,20240418,MC_01,wik,,12,2,,0,58271.56679785157
20240418_A01,A01,1,YX1,32,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,60140.513666551175,20240418,MC_01,wik,,12,2,,0,60139.53638891602
20240418_A01,A01,1,YX1,33,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,62008.14327763516,20240418,MC_01,wik,,12,2,,0,62007.166000000005
20240418_A01,A01,1,YX1,34,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,63875.83797270351,20240418,MC_01,wik,,12,2,,0,63874.86069506836
20240418_A01,A01,1,YX1,35,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,65743.17087553555,20240418,MC_01,wik,,12,2,,0,65742.19359790039
20240418_A01,A01,1,YX1,36,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,67608.74625053555,20240418,MC_01,wik,,12,2,,0,67607.76897290039
20240418_A01,A01,1,YX1,37,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,69478.75938261562,20240418,MC_01,wik,,12,2,,0,69477.78210498046
20240418_A01,A01,1,YX1,38,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,71343.30990971523,20240418,MC_01,wik,,12,2,,0,71342.33263208007
20240418_A01,A01,1,YX1,39,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,73218.29583867031,20240418,MC_01,wik,,12,2,,0,73217.31856103515
20240418_A01,A01,1,YX1,40,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,75093.65994047695,20240418,MC_01,wik,,12,2,,0,75092.68266284179
20240418_A01,A01,1,YX1,41,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,76967.17245268398,20240418,MC_01,wik,,12,2,,0,76966.19517504882
20240418_A01,A01,1,YX1,42,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,78837.60125663906,20240418,MC_01,wik,,12,2,,0,78836.6239790039
20240418_A01,A01,1,YX1,43,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,80708.30389555507,20240418,MC_01,wik,,12,2,,0,80707.32661791991
20240418_A01,A01,1,YX1,44,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,82577.78944267421,20240418,MC_01,wik,,12,2,,0,82576.81216503905
20240418_A01,A01,1,YX1,45,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,84446.53970170743,20240418,MC_01,wik,,12,2,,0,84445.56242407227
20240418_C01,C01,2,YX1,0,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,26.0199536605468,20240418,MC_01,wik,,12,2,,0,25.042676025390623
20240418_C01,C01,2,YX1,1,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,2093.5729946761717,20240418,MC_01,wik,,12,2,,0,2092.5957170410156
20240418_C01,C01,2,YX1,2,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,3963.834151658594,20240418,MC_01,wik,,12,2,,0,3962.8568740234377
20240418_C01,C01,2,YX1,3,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,5839.02451762539,20240418,MC_01,wik,,12,2,,0,5838.047239990234
20240418_C01,C01,2,YX1,4,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,7715.939305711328,20240418,MC_01,wik,,12,2,,0,7714.962028076172
20240418_C01,C01,2,YX1,5,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,9593.877443650783,20240418,MC_01,wik,,12,2,,0,9592.900166015626
20240418_C01,C01,2,YX1,6,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,11461.311379685938,20240418,MC_01,wik,,12,2,,0,11460.334102050781
20240418_C01,C01,2,YX1,7,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,13333.540682664454,20240418,MC_01,wik,,12,2,,0,13332.563405029297
20240418_C01,C01,2,YX1,8,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,15207.317410691798,20240418,MC_01,wik,,12,2,,0,15206.340133056641
20240418_C01,C01,2,YX1,9,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,17081.533409715234,20240418,MC_01,wik,,12,2,,0,17080.556132080077
20240418_C01,C01,2,YX1,10,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,18958.173881639064,20240418,MC_01,wik,,12,2,,0,18957.196604003908
20240418_C01,C01,2,YX1,11,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,20838.86332060391,20240418,MC_01,wik,,12,2,,0,20837.886042968752
20240418_C01,C01,2,YX1,12,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,22711.884862596096,20240418,MC_01,wik,,12,2,,0,22710.90758496094
20240418_C01,C01,2,YX1,13,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,24586.709609666406,20240418,MC_01,wik,,12,2,,0,24585.73233203125
20240418_C01,C01,2,YX1,14,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,26462.761023484767,20240418,MC_01,wik,,12,2,,0,26461.78374584961
20240418_C01,C01,2,YX1,15,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,28338.210566697657,20240418,MC_01,wik,,12,2,,0,28337.2332890625
20240418_C01,C01,2,YX1,16,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,30213.89542265469,20240418,MC_01,wik,,12,2,,0,30212.918145019532
20240418_C01,C01,2,YX1,17,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,32087.2696306625,20240418,MC_01,wik,,12,2,,0,32086.292353027344
20240418_C01,C01,2,YX1,18,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,33959.48244658047,20240418,MC_01,wik,,12,2,,0,33958.50516894532
20240418_C01,C01,2,YX1,19,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,35831.39673466641,20240418,MC_01,wik,,12,2,,0,35830.419457031254
20240418_C01,C01,2,YX1,20,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,37699.10198368984,20240418,MC_01,wik,,12,2,,0,37698.12470605469
20240418_C01,C01,2,YX1,21,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,39576.338936570704,20240418,MC_01,wik,,12,2,,0,39575.36165893555
20240418_C01,C01,2,YX1,22,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,41449.11567460781,20240418,MC_01,wik,,12,2,,0,41448.13839697266
20240418_C01,C01,2,YX1,23,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,43327.325218553124,20240418,MC_01,wik,,12,2,,0,43326.34794091797
20240418_C01,C01,2,YX1,24,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,45201.21510966641,20240418,MC_01,wik,,12,2,,0,45200.23783203126
20240418_C01,C01,2,YX1,25,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,47071.373257615625,20240418,MC_01,wik,,12,2,,0,47070.39597998047
20240418_C01,C01,2,YX1,26,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,48942.54154057461,20240418,MC_01,wik,,12,2,,0,48941.56426293946
20240418_C01,C01,2,YX1,27,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,50811.31662968594,20240418,MC_01,wik,,12,2,,0,50810.33935205079
20240418_C01,C01,2,YX1,28,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,52681.17145561367,20240418,MC_01,wik,,12,2,,0,52680.19417797852
20240418_C01,C01,2,YX1,29,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,54553.780230516015,20240418,MC_01,wik,,12,2,,0,54552.80295288086
20240418_C01,C01,2,YX1,30,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,56422.03190165859,20240418,MC_01,wik,,12,2,,0,56421.05462402344
20240418_C01,C01,2,YX1,31,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,58295.26270366055,20240418,MC_01,wik,,12,2,,0,58294.285426025395
20240418_C01,C01,2,YX1,32,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,60163.15750370938,20240418,MC_01,wik,,12,2,,0,60162.180226074226
20240418_C01,C01,2,YX1,33,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,62030.67548368985,20240418,MC_01,wik,,12,2,,0,62029.698206054694
20240418_C01,C01,2,YX1,34,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,63898.6940825668,20240418,MC_01,wik,,12,2,,0,63897.716804931646
20240418_C01,C01,2,YX1,35,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,65765.76907768399,20240418,MC_01,wik,,12,2,,0,65764.79180004883
20240418_C01,C01,2,YX1,36,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,67631.4544575668,20240418,MC_01,wik,,12,2,,0,67630.47717993164
20240418_C01,C01,2,YX1,37,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,69501.60068071133,20240418,MC_01,wik,,12,2,,0,69500.62340307617
20240418_C01,C01,2,YX1,38,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,71365.71793754726,20240418,MC_01,wik,,12,2,,0,71364.7406599121
20240418_C01,C01,2,YX1,39,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,73241.29402568203,20240418,MC_01,wik,,12,2,,0,73240.31674804687
20240418_C01,C01,2,YX1,40,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,75116.04761650234,20240418,MC_01,wik,,12,2,,0,75115.07033886718
20240418_C01,C01,2,YX1,41,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,76989.31738456876,20240418,MC_01,wik,,12,2,,0,76988.3401069336
20240418_C01,C01,2,YX1,42,7080.86262190448,7080.86262190448,2189,2189,0,Plan Apo λ 4x,78859.9678025375,20240418,MC_01,wik,,12,2,,0,78858.99052490234
