master_perturbation,short_pert_name,phenotype,control_flag,pert_type,background
DMSO_000_13,DMSO_000_13,DMSO,True,unknown,unknown
ab_uncertain,ab_uncertain,uncertain,False,unknown,unknown
cep290_het_cep290,cep290_het_cep290,uncertain,False,unknown,unknown
cep290_homo_cep290,cep290_homo_cep290,cep290,False,unknown,unknown
ctrl-inj_ab,ctrl-inj_ab,ctrl-inj,True,unknown,unknown
ethanol_100_06,ethanol_100_06,ethanol,True,unknown,unknown
fgf-i_025_13,fgf-i_025_13,fgf-i,False,unknown,unknown
fgf-i_050_13,fgf-i_050_13,fgf-i,False,unknown,unknown
fgf-i_075_13,fgf-i_075_13,fgf-i,False,unknown,unknown
fgf-i_100_13,fgf-i_100_13,fgf-i,False,unknown,unknown
fgf-i_150_13,fgf-i_150_13,fgf-i,False,unknown,unknown
gdf3_gdf3,gdf3_gdf3,gdf3,False,unknown,unknown
inj-ctrl_ab,inj-ctrl_ab,inj-ctrl,True,unknown,unknown
inj-ctrl_wik,inj-ctrl_wik,inj-ctrl,True,unknown,unknown
lmx1b_ab,lmx1b_ab,lmx1b,False,unknown,unknown
lmx1b_wik,lmx1b_wik,lmx1b,False,unknown,unknown
meox1:sox1_ab,meox1:sox1_ab,meox1:sox1,False,unknown,unknown
meox1:tbx5a_ab,meox1:tbx5a_ab,meox1:tbx5a,False,unknown,unknown
meox1_ab,meox1_ab,meox1,False,unknown,unknown
nfatc1_ab,nfatc1_ab,nfatc1,False,unknown,unknown
nfatc:gata2a_ab,nfatc:gata2a_ab,nfatc:gata2a,False,unknown,unknown
notch-i_000_06,notch-i_000_06,notch-i,False,unknown,unknown
noto_noto,noto_noto,noto,False,unknown,unknown
shh-i_000_13,shh-i_000_13,shh-i,False,unknown,unknown
shh-i_000_24,shh-i_000_24,shh-i,False,unknown,unknown
shh-i_025_06,shh-i_025_06,shh-i,False,unknown,unknown
shh-i_050_06,shh-i_050_06,shh-i,False,unknown,unknown
shh-i_075_06,shh-i_075_06,shh-i,False,unknown,unknown
shh-i_100_06,shh-i_100_06,shh-i,False,unknown,unknown
smad5_ab,smad5_ab,smad5,False,unknown,unknown
smyda:smydb_ab,smyda:smydb_ab,smyda:smydb,False,unknown,unknown
sox10:tbx5a_ab,sox10:tbx5a_ab,sox10:tbx5a,False,unknown,unknown
sox10_ab,sox10_ab,sox10,False,unknown,unknown
tbx16_tbx16,tbx16_tbx16,tbx16,False,unknown,unknown
tbx2b:tbx2a_ab,tbx2b:tbx2a_ab,tbx2b:tbx2a,False,unknown,unknown
tbx2b_ab,tbx2b_ab,tbx2b,False,unknown,unknown
tbx5a_ab,tbx5a_ab,tbx5a,False,unknown,unknown
tbx6_ab,tbx6_ab,tbx6,False,unknown,unknown
tbxta_tbxta,tbxta_tbxta,tbxta,False,unknown,unknown
tgfb-i_000_13,tgfb-i_000_13,tgfb-i,False,unknown,unknown
uncertain_sox10-GFP,uncertain_sox10-GFP,uncertain,False,unknown,unknown
uncertain_uncertain,uncertain_uncertain,uncertain,False,unknown,unknown
wnt-i_000_13,wnt-i_000_13,wnt-i,False,unknown,unknown
wt_H2B-mScarlet,wt_H2B-mScarlet,wt,False,unknown,unknown
wt_ab,wt_ab,wt,False,unknown,unknown
wt_cep290,wt_cep290,wt,False,unknown,unknown
wt_tbx16,wt_tbx16,wt,False,unknown,unknown
wt_tbx5a-SG,wt_tbx5a-SG,wt,False,unknown,unknown
wt_tbxta,wt_tbxta,wt,False,unknown,unknown
wt_wik,wt_wik,wt,False,unknown,unknown
atf6,atf6,unknown,False,CRISPR,wik
