stage_hpf,p5,p50,p95,n
0.25,322453.80772999977,425166.92149999965,465696.8046099995,0
0.75,322453.80772999965,425166.9214999995,465696.8046099995,0
1.25,322453.80772999977,425166.92149999976,465696.8046099997,0
1.75,322453.80772999977,425166.92149999976,465696.8046099997,0
2.25,322453.80772999977,425166.92149999976,465696.8046099997,0
2.75,322453.80772999977,425166.92149999976,465696.8046099997,0
3.25,322453.80772999977,425166.92149999976,465696.8046099997,0
3.75,322453.80772999977,425166.92149999976,465696.8046099997,0
4.25,322453.80772999977,425166.92149999976,465696.8046099997,0
4.75,322453.80772999977,425166.92149999976,465696.8046099997,0
5.25,322453.80772999977,425166.92149999976,465696.8046099997,0
5.75,322453.80772999977,425166.92149999976,465696.8046099997,0
6.25,322453.80772999977,425166.92149999976,465696.8046099997,0
6.75,322453.80772999977,425166.92149999976,465696.8046099997,0
7.25,322453.80772999977,425166.92149999976,465696.8046099997,1
7.75,322453.80772999977,425166.92149999976,465696.8046099997,1
8.25,322453.80772999977,425166.92149999976,465696.8046099997,1
8.75,322453.80772999977,425166.92149999976,465696.8046099997,1
9.25,322453.80772999977,425166.92149999976,465696.8046099997,1
9.75,323278.8781639998,423219.1606999998,465136.5919548569,1
10.25,317755.87921828555,430782.1624571426,466172.3946502855,184
10.75,320005.2470277141,442079.0825314283,471785.2273985712,137
11.25,336463.74904642836,452785.75224142836,489262.08492471394,137
11.75,359769.84889114264,458311.623445714,509769.72663199966,145
12.25,370316.3861169998,469494.5423014283,531316.132661571,218
12.75,373506.6427945712,483450.9158714283,543191.3355468567,236
13.25,382907.4547247141,492219.3882799997,549446.7549778568,197
13.75,393977.3408005712,498974.8535742854,551307.7289911425,245
14.25,409143.1743334283,504091.50558999967,558575.8331311425,204
14.75,424065.60636542836,505797.250965714,558554.7300682854,230
15.25,439660.83568514267,502910.2695299997,556951.992523714,421
15.75,449193.7992618569,507224.4921414283,564052.793477714,391
16.25,454800.3160939997,518867.4589428569,584140.0654879997,347
16.75,459909.5006072855,532104.0946971425,609344.2774348567,382
17.25,465758.93967799976,549960.4078171425,640849.6417782854,369
17.75,477563.932522714,565935.1361557139,676572.6497344283,312
18.25,493674.547932714,583525.6904614281,709998.8836545711,365
18.75,509406.3077249997,595068.507258571,732769.8003892853,314
19.25,525457.9112494283,617750.6976028567,752488.1093387138,360
19.75,535344.155442714,637163.4261099997,771657.5835809996,306
20.25,544985.9824968568,654440.2339914283,791505.9811841424,350
20.75,563229.3078952853,674779.8063371425,810476.3734294281,414
21.25,597329.4832622854,699667.3359342853,839400.293135428,292
21.75,571637.6926538567,695793.0117685711,871426.6692088566,331
22.25,519036.5225798568,679616.4571128568,890164.0470387137,618
22.75,482934.4140105712,672592.520658571,896373.8661512851,588
23.25,503662.2925198569,692502.9041099995,901824.667798428,629
23.75,496536.9733824283,691889.5362628567,911808.1351175709,576
24.25,506310.5557345712,705960.2102485711,923695.241445428,701
24.75,514106.6902228568,717277.8621814281,930116.6687178565,564
25.25,534537.7149945712,746196.0005199997,943287.2069157136,623
25.75,550666.5233694282,764770.9412871425,957568.6000259994,549
26.25,566322.2729162854,769745.1100199996,980744.0673682849,505
26.75,577718.8605809996,776730.6468114282,999863.0070955707,530
27.25,577046.0444651425,777581.8607828568,1015763.2654894277,473
27.75,583671.3127204282,795089.5982199996,1012078.2439755708,504
28.25,598255.5566337139,804617.4503857138,1017543.6830775706,443
28.75,624029.5827737139,821394.0390828567,1035806.0020487136,423
29.25,642226.4762262853,821620.0372799996,1046587.0047449992,458
29.75,648218.2088482853,826259.4601542852,1054045.700045142,416
30.25,661699.8300399996,834906.278068571,1077256.1062995708,397
30.75,668249.830637714,838281.9189828567,1097564.2043208564,527
31.25,676565.7869352853,840892.158158571,1079428.3612884278,527
31.75,692375.4180148568,848961.4578828567,1052667.6977778564,614
32.25,702366.6396918567,863680.641901428,1055581.8201929994,542
32.75,701727.1944602852,877402.1807842851,1055626.705858142,462
33.25,702400.4885249995,895089.3953099994,1048642.8571118566,501
33.75,713079.6247988568,911514.2660985708,1040867.9567375708,396
34.25,719199.0512832854,928788.6936014281,1055567.038352142,413
34.75,723067.0365131425,935188.4468442852,1059930.1253385707,422
35.25,731940.4691538566,941229.2237999996,1064599.3100114278,470
35.75,724418.2607867138,943522.1007342851,1078417.2059092852,509
36.25,732619.4064844281,949418.9935342851,1091236.4267111423,446
36.75,735753.289529571,958853.9938599995,1100921.8791541422,412
37.25,738019.696152571,971735.993161428,1108547.8792198566,459
37.75,720371.6607429995,986331.2666542853,1124146.337544142,433
38.25,728488.9096088567,997767.9425142852,1137879.8452525707,411
38.75,753997.2839442852,1013139.3793999994,1149792.824627142,455
39.25,769307.9098037139,1033853.5108999994,1162431.3200719994,411
39.75,788348.1612262853,1051212.5063371423,1172379.8418047135,353
40.25,793944.5977379996,1062148.9451428563,1185549.379967142,399
40.75,819876.7173315709,1067278.5896585707,1197913.1118069992,348
41.25,822906.6121158566,1076786.713008571,1213025.7484887138,405
41.75,832123.7499572852,1087066.4092328562,1228762.946887571,348
42.25,836865.1368947139,1089085.970871428,1229770.7928155707,372
42.75,846133.165814571,1092806.3711557137,1230535.133808285,264
43.25,846685.2607547139,1104159.2519999994,1237453.467946428,346
43.75,841310.4318751425,1122458.5661257135,1255615.5911435708,380
44.25,854218.1862712854,1130558.0778085706,1269886.6869248564,323
44.75,824293.8689448567,1140861.772688571,1288249.513991285,326
45.25,825834.5015418567,1151505.1269985707,1300109.1109154276,300
45.75,828553.2609998567,1161289.7471014278,1313244.3779971423,336
46.25,834983.8171698567,1166702.2663671423,1317223.345573142,264
46.75,825773.8341442852,1176690.758061428,1326917.7185878563,292
47.25,855784.4607188567,1194910.8195285709,1337210.545410999,273
47.75,878412.5181665709,1208813.6048585707,1334813.3005767134,246
48.25,912631.2686219995,1212784.657604285,1334987.2419827133,200
48.75,957486.6127388566,1215971.818514285,1350113.581604428,237
49.25,989896.3738802851,1223768.090647142,1373108.9609315707,231
49.75,977519.6054925707,1231706.9156771419,1380375.8488269993,268
50.25,981929.9329527137,1232949.9292985706,1387229.5122195706,211
50.75,980441.5225645709,1244539.3613228565,1402158.4399287133,258
51.25,974346.5955181422,1243981.0788128565,1391244.6132621418,222
51.75,962647.4305968564,1239246.861014285,1370098.7236899992,243
52.25,966994.4442707138,1239803.5032785707,1363513.7933757135,223
52.75,974091.1484279995,1232726.5566828563,1370563.377574285,209
53.25,963365.2052911423,1238843.806094285,1382087.7511707135,196
53.75,950459.9920829996,1242725.6887499993,1391977.9256919993,197
54.25,943195.281271428,1270882.8700428563,1420310.9421257135,275
54.75,945000.230686428,1276463.3093071422,1434994.1151664278,148
55.25,941304.2632648567,1253980.3599671423,1422854.9896009993,258
55.75,955484.0575437137,1240788.5498142852,1421632.5387689993,226
56.25,973152.431599428,1250992.1170728565,1434997.1868829993,218
56.75,991611.8549808565,1286463.6343199993,1465917.911354999,278
57.25,979066.4387397137,1279246.6697499992,1470350.0243761418,213
57.75,972322.5828037137,1270768.797897142,1479946.5339417132,256
58.25,974096.6060071422,1265832.8289628564,1483460.060502142,234
58.75,983615.6807275708,1260682.285101428,1483283.3604794275,259
59.25,979522.6527968566,1257736.8378657135,1489258.9516587132,279
59.75,984913.1507822851,1259477.8919828562,1510438.9734071419,207
60.25,947403.589234428,1209639.3977371422,1484565.8594974275,251
60.75,938596.5036577138,1199459.2413699995,1477050.0557162848,193
61.25,946449.4390767138,1222219.8408285708,1495230.1290734278,180
61.75,987199.4399258565,1271339.0095099993,1540726.6943877134,218
62.25,980822.2252889994,1249506.4950657135,1542146.2589117133,239
62.75,990617.608066428,1246384.795189999,1546102.0126077132,200
63.25,988641.8337402851,1236627.0785828563,1551122.6185877132,263
63.75,989491.8874607137,1237075.315024285,1554632.2681475705,213
64.25,991616.5967817137,1241369.4976657135,1572019.2940445705,235
64.75,985509.3976641423,1186965.4334585706,1519152.892581999,246
65.25,984778.4710637138,1156267.9474328565,1505279.1993637134,145
65.75,984714.680130428,1159389.1999814278,1535271.6300499989,252
66.25,990856.0860004281,1197692.2414371422,1598147.9743507132,198
66.75,982085.8763012851,1202179.8247928566,1596835.5929317134,237
67.25,983398.3024281423,1219426.6388871423,1597862.4510315706,166
67.75,980199.4808239994,1183816.594827142,1604202.7748475703,238
68.25,984843.6040149995,1169757.5380914276,1606784.3692227136,218
68.75,986695.3304985708,1180777.6531557138,1611944.2327039992,227
69.25,989791.8599461424,1183455.888271428,1618810.5856905705,241
69.75,985803.1222539993,1184693.0864485707,1638272.3379058563,220
70.25,985654.0083409995,1160958.3257457134,1570279.7161634278,222
70.75,985967.7142134279,1176325.1115457136,1545290.7583175707,165
71.25,982639.0591064281,1152455.4027599995,1571996.613836999,226
71.75,1001870.4452308565,1219916.7763485708,1654154.625457142,192
72.25,1015381.5828971423,1281700.4884042852,1660997.239525856,170
72.75,1049085.742330571,1376911.6640899994,1681140.114348285,135
73.25,1050011.381889428,1379983.8581628564,1688213.2883464275,112
73.75,1047271.8013168566,1367270.256314285,1715026.7295522846,128
74.25,1013021.8700602851,1256272.539171428,1618837.5305654276,125
74.75,1002110.6827208565,1149723.1884457134,1510050.4123605704,50
75.25,996288.2613415708,1082429.1206485708,1437532.8989297133,51
75.75,1002424.3736365708,1104453.6937957136,1488820.183980856,51
76.25,1017920.3219148566,1107189.4868714279,1492881.0331534278,52
76.75,1002397.0858037136,1107946.9855857135,1501851.9799915706,53
77.25,980039.3026848566,1105351.5087085709,1488880.5750934277,50
77.75,958581.8693934281,1104717.0289942853,1491818.4026102847,54
78.25,974749.2627349993,1112172.128494285,1497189.9035097132,49
78.75,1000039.7140498564,1121585.093721428,1516789.9290941418,0
79.25,1025009.4660525708,1119006.615814285,1454041.449994285,51
79.75,1033309.7879549994,1111721.0588485706,1397309.135979428,46
80.25,1032290.8179714279,1109880.2475285707,1392364.8912114277,48
80.75,1024370.9602251423,1114081.979554285,1438799.2786834277,52
81.25,1013000.3081807137,1118266.861684285,1457802.0433524277,49
81.75,1003902.525026428,1122336.776974285,1449057.8987602848,44
82.25,1016757.3824592851,1130538.1916128565,1452232.5042847134,44
82.75,1019703.5156292851,1129963.6556957136,1478826.4200199991,50
83.25,1018294.5680452852,1127375.7836099993,1452628.4614294278,46
83.75,1028622.6006829994,1130622.8882928565,1403885.6264573564,43
84.25,1054686.4760468565,1138958.5054799994,1368990.7625432846,42
84.75,1065803.5151461423,1143468.0086599991,1385901.1010693558,0
85.25,1064159.1464737137,1143882.9927057135,1378254.255991856,45
85.75,1067493.602098999,1145437.2070828567,1432862.5615127846,46
86.25,1072730.3487378564,1150386.5962714278,1416494.371365142,43
86.75,1076648.7792117137,1154266.093101428,1382963.3928219993,47
87.25,1081672.7104488565,1154923.089011428,1359630.7476295708,46
87.75,1085836.463116428,1156839.0537342848,1350416.372308142,46
88.25,1086298.671552285,1162844.0203457135,1392411.5936758565,48
88.75,1081877.1009209994,1167889.289814285,1428657.2209144277,46
89.25,1082489.4074302851,1170706.7973257136,1409833.3631115705,47
89.75,1082357.851666785,1170224.041001428,1298869.1891324278,49
90.25,1079752.1232087137,1168779.4998971422,1283471.857347142,42
90.75,1074442.780442499,1168022.6722357133,1284763.6088618562,0
91.25,1074734.5143549996,1174835.3144042848,1289437.2193245706,45
91.75,1082747.7994456424,1177256.104304285,1293962.5359949993,48
92.25,1095466.1654839995,1183754.861668571,1286325.1522249994,42
92.75,1104980.3194489994,1192621.4735157136,1273780.5859217136,45
93.25,1105104.2032759993,1198301.222674285,1266867.127831285,44
93.75,1099535.7378291423,1196474.2789399992,1272937.0335417136,37
94.25,1104570.5842024279,1198602.1345614279,1290746.1264205705,43
94.75,1106270.438144571,1203114.619974285,1297772.4339125706,33
95.25,1111835.9063707138,1200611.7428499993,1299164.8149514282,36
95.75,1112930.9020828565,1205748.4937064277,1295156.4389372137,33
96.25,1117321.8671301422,1216324.4729585706,1306855.6038865705,34
96.75,1105968.788137571,1225474.9231364278,1310207.9979392136,0
97.25,1104018.7433962852,1219868.9107899992,1362275.506664142,37
97.75,1110619.9494792852,1216439.0669907136,1372873.2267249278,34
98.25,1121850.4866651422,1220629.8391514278,1366438.8269322847,31
98.75,1130120.9708771422,1228972.3155514277,1332387.068045142,36
99.25,1143164.5021657138,1235526.6178371422,1344879.548829142,31
99.75,1151455.340419285,1245020.4028014278,1335561.6735372848,32
100.25,1157187.5627899994,1250385.5216371424,1337627.5127059992,27
100.75,1160413.1801685707,1247445.5916128566,1347954.426965285,28
101.25,1163366.7541229993,1243252.6573185707,1369193.4828999992,29
101.75,1162873.3510784279,1237537.269917142,1368851.0875194275,28
102.25,1171216.923489428,1252718.036114285,1368257.4724777848,30
102.75,1177040.7837964278,1268653.1696199994,1375472.8191367136,26
103.25,1173848.5306628565,1264725.4344485705,1387461.5856613563,0
103.75,1169552.8196219993,1253657.2301628564,1388475.9405358564,33
104.25,1172686.336791285,1261004.594821428,1408782.2367390706,26
104.75,1175456.1352648565,1269140.4738628564,1407497.7619988564,27
105.25,1192053.1555897137,1266930.3073699994,1398763.7571555704,21
105.75,1161764.6443154279,1288766.8478999992,1521490.5813108562,23
106.25,1124851.9112471421,1335576.8384471422,1703693.7287391417,54
106.75,1079478.9166501423,1364587.5477885706,1813890.2419048562,59
107.25,1092156.7162248564,1426179.0519899994,1808584.5151728562,61
107.75,1075520.0166585709,1458682.1584428563,1811068.0373021418,30
108.25,1053802.8866188566,1447801.1666814277,1813132.5046167132,51
108.75,1010632.7071891424,1395779.6446885704,1818727.422876999,50
109.25,1015983.8987232851,1407775.4121428563,1857690.0101041417,52
109.75,1120852.6610287135,1387002.650319999,1741358.9503121418,49
110.25,1157568.384840285,1383410.0486614278,1702012.1114517134,16
