sa_um,stage_hpf
399860.5736062246,0.0
402116.9126819879,1.0
407608.0821360868,2.0
415723.92669858725,3.0
426111.2358182584,4.0
438482.44538421487,5.0
452579.87183431664,6.0
468164.4251874655,7.0
485011.8688671903,8.0
502911.89210423175,9.0
521668.24074677215,10.0
541099.1533591339,11.0
561037.7593481409,12.0
581332.2878416469,13.0
601846.0340464951,14.0
622457.0818240129,15.0
643057.8083971394,16.0
663554.2099279297,17.0
683865.0909459712,18.0
703921.1597246224,19.0
723664.0678908778,20.0
743045.4272557856,21.0
762025.831010781,22.0
780573.9006565936,23.0
798665.3746822544,24.0
816282.2502911245,25.0
833411.9854619534,26.0
850046.7653420224,27.0
866182.834354477,28.0
881819.8933937887,29.0
896960.5600000083,30.0
911609.8883595914,31.0
925774.9452971393,32.0
939464.4380248457,33.0
952688.3892402562,34.0
965457.8551533245,35.0
977784.6821351963,36.0
989681.2978768344,37.0
1001160.5331963144,38.0
1012235.4709166443,39.0
1022919.3185341501,40.0
1033225.3016980718,41.0
1043166.5758159591,42.0
1052756.1533804978,43.0
1062006.8448775,44.0
1070931.2113796263,45.0
1079541.5271548696,46.0
1087849.750822759,47.0
1095867.5037750918,48.0
1103606.0547426855,49.0
1111076.3095363234,50.0
1118288.805120107,51.0
1125253.707290181,52.0
1131980.811332738,53.0
1138479.5451236467,54.0
1144758.974209335,55.0
1150827.8084758942,56.0
1156694.410071894,57.0
1162366.8023011414,58.0
1167852.6792455122,59.0
1173159.415915872,60.0
1178294.0787617576,61.0
1183263.4363985336,62.0
1188073.970434823,63.0
1192731.8863036088,64.0
1197243.1240180144,65.0
1201613.3687877625,66.0
1205848.0614450658,67.0
1209952.4086395288,68.0
1213931.3927707626,69.0
1217789.7816351382,70.0
1221532.137769562,71.0
1225162.8274805788,72.0
1228686.0295516034,73.0
1232105.7436248227,74.0
1235425.7982573686,75.0
1238649.8586538786,76.0
1241781.4340795781,77.0
1244823.8849596465,78.0
1247780.4296718994,79.0
1250654.1510408157,80.0
1253448.0025416645,81.0
1256164.8142240471,82.0
1258807.298364515,83.0
1261378.0548581632,84.0
1263879.5763592024,85.0
1266314.2531805206,86.0
1268684.3779621853,87.0
1270992.1501186974,88.0
1273239.6800746322,89.0
1275428.9932980775,90.0
1277562.034141033,91.0
1279640.669495647,92.0
1281666.6922748894,93.0
1283641.8247259443,94.0
1285567.7215843052,95.0
1287445.9730762336,96.0
