timepoint,temp,embryo,well,pheno_note,tag
30,28C,reference-30-HF4-30hpf-28C_P9_E2,E2,norm,30-28C-E2
36,28C,reference-36-HF4-36hpf-28C_P12_E2,E2,norm,36-28C-E2
36,28C,reference-36-HF4-36hpf-28C_P12_A1,A1,norm,36-28C-A1
24,28C,reference-24-HF4-24hpf-28C_P2_C2,C2,norm,24-28C-C2
30,28C,reference-30-HF4-30hpf-28C_P9_F2,F2,norm,30-28C-F2
36,28C,reference-36-HF4-36hpf-28C_P12_F1,F1,norm,36-28C-F1
36,28C,reference-36-HF4-36hpf-28C_P12_G2,G2,norm,36-28C-G2
24,28C,reference-24-HF4-24hpf-28C_P2_C1,C1,norm,24-28C-C1
30,28C,reference-30-HF4-30hpf-28C_P9_B2,B2,norm,30-28C-B2
30,28C,reference-30-HF4-30hpf-28C_P9_B1,B1,norm,30-28C-B1
36,28C,reference-36-HF4-36hpf-28C_P12_F2,F2,norm,36-28C-F2
36,28C,reference-36-HF4-36hpf-28C_P12_B2,B2,norm,36-28C-B2
24,28C,reference-24-HF4-24hpf-28C_P2_E1,E1,norm,24-28C-E1
36,28C,reference-36-HF4-36hpf-28C_P12_D2,D2,norm,36-28C-D2
24,28C,reference-24-HF4-24hpf-28C_P2_B2,B2,norm,24-28C-B2
24,28C,reference-24-HF4-24hpf-28C_P2_B1,B1,norm,24-28C-B1
30,28C,reference-30-HF4-30hpf-28C_P9_G2,G2,norm,30-28C-G2
36,28C,reference-36-HF4-36hpf-28C_P12_H1,H1,norm,36-28C-H1
36,28C,reference-36-HF4-36hpf-28C_P12_E1,E1,norm,36-28C-E1
30,28C,reference-30-HF4-30hpf-28C_P9_D1,D1,norm,30-28C-D1
24,28C,reference-24-HF4-24hpf-28C_P2_A1,A1,norm,24-28C-A1
36,28C,reference-36-HF4-36hpf-28C_P12_D1,D1,norm,36-28C-D1
30,28C,reference-30-HF4-30hpf-28C_P9_A2,A2,norm,30-28C-A2
30,28C,reference-30-HF4-30hpf-28C_P9_A1,A1,norm,30-28C-A1
24,28C,reference-24-HF4-24hpf-28C_P2_E2,E2,norm,24-28C-E2
30,28C,reference-30-HF4-30hpf-28C_P9_H1,H1,norm,30-28C-H1
30,28C,reference-30-HF4-30hpf-28C_P9_H2,H2,norm,30-28C-H2
24,28C,reference-24-HF4-24hpf-28C_P2_H1,H1,norm,24-28C-H1
30,28C,reference-30-HF4-30hpf-28C_P9_E1,E1,norm,30-28C-E1
36,28C,reference-36-HF4-36hpf-28C_P12_A2,A2,norm,36-28C-A2
24,28C,reference-24-HF4-24hpf-28C_P2_F2,F2,norm,24-28C-F2
24,28C,reference-24-HF4-24hpf-28C_P2_F1,F1,norm,24-28C-F1
30,28C,reference-30-HF4-30hpf-28C_P9_D2,D2,norm,30-28C-D2
36,28C,reference-36-HF4-36hpf-28C_P12_B1,B1,norm,36-28C-B1
30,28C,reference-30-HF4-30hpf-28C_P9_C1,C1,norm,30-28C-C1
24,28C,reference-24-HF4-24hpf-28C_P2_H2,H2,norm,24-28C-H2
36,28C,reference-36-HF4-36hpf-28C_P12_C2,C2,norm,36-28C-C2
24,28C,reference-24-HF4-24hpf-28C_P2_D2,D2,norm,24-28C-D2
24,28C,reference-24-HF4-24hpf-28C_P2_D1,D1,norm,24-28C-D1
30,28C,reference-30-HF4-30hpf-28C_P9_F1,F1,norm,30-28C-F1
24,28C,reference-24-HF4-24hpf-28C_P2_G2,G2,norm,24-28C-G2
24,28C,reference-24-HF4-24hpf-28C_P2_A2,A2,norm,24-28C-A2
24,28C,reference-24-HF4-24hpf-28C_P2_G1,G1,norm,24-28C-G1
30,28C,reference-30-HF4-30hpf-28C_P9_G1,G1,norm,30-28C-G1
36,28C,reference-36-HF4-36hpf-28C_P12_C1,C1,norm,36-28C-C1
36,28C,reference-36-HF4-36hpf-28C_P12_H2,H2,norm,36-28C-H2
