PCA_1,PCA_2,PCA_3,phenotype
1.359189570078596,1.5029619358167896,2.3848305809245316,wt
1.3590190179696977,1.5116114536306342,2.367567701147082,wt
1.357723426127809,1.5249827814065022,2.343346371602267,wt
1.3587901230005652,1.5037955638104368,2.361277075924525,wt
1.3575260034811372,1.4799499533801634,2.374494548013463,wt
1.3504621743943916,1.4737323065960248,2.350164446793983,wt
1.3449017503566334,1.4786935474983802,2.3231464396397796,wt
1.3398500325332712,1.4858007092359669,2.2964942996781286,wt
1.3350590566919998,1.4939395925592647,2.270077434506699,wt
1.3304386288510002,1.5027033063109168,2.2438518950939903,wt
1.3259269902680602,1.5118831298030282,2.2177342916690925,wt
1.3214911138058936,1.5213349766133166,2.191708641129483,wt
1.3171076511044195,1.5309866775341456,2.1657391076607087,wt
1.3127648434539436,1.5407870130400791,2.1398200230813105,wt
1.3084541047363332,1.550702566581405,2.113943989067719,wt
1.3041679935749657,1.5607123911709124,2.088097997562922,wt
1.299900698803013,1.5708014791777898,2.0622708354618324,wt
1.2956519525575316,1.5809480912694311,2.036479587121255,wt
1.2914147046056084,1.591151117531715,2.010696522756072,wt
1.2871888223071297,1.6013961524295652,1.9849332668273958,wt
1.2829716636800443,1.6116771528920706,1.9591842834832012,wt
1.2787607893717425,1.6219893795255929,1.933443826735786,wt
1.2745548542964524,1.6323267515263469,1.9077117732561677,wt
1.2703525312305113,1.6426841361328475,1.8819873285452762,wt
1.2661527185910146,1.653056590719435,1.856270506614467,wt
1.2619539172368262,1.663440704859725,1.8305584824954204,wt
1.2577548146333164,1.6738329952139124,1.804849311790935,wt
1.253554263140267,1.684229814257091,1.779141923502464,wt
1.249351110830249,1.6946276415966945,1.7534351978763671,wt
1.2451441871296507,1.7050230004385103,1.7277279882581718,wt
1.2409322870774655,1.7154123785208217,1.7020191361687047,wt
1.2367141552205674,1.725792145024081,1.6763074914690894,wt
1.2324884702045336,1.7361584545017141,1.6505919502239663,wt
1.2282538313534836,1.7465071273955872,1.6248715253255805,wt
1.2240087490056948,1.7568334939759715,1.5991454695001341,wt
1.2197505776690651,1.7671347490467242,1.573407058581791,wt
1.21547779817605,1.777404124160788,1.5476577044389934,wt
1.2111886882739213,1.7876337875026398,1.5218992397419808,wt
1.206880027789889,1.7978174206962474,1.496126674588703,wt
1.2025474387665431,1.8079486213019282,1.4703310632551445,wt
1.1981887375411973,1.8180121316763715,1.4445204284074413,wt
1.1937977541314895,1.8279968400841693,1.4186844734284398,wt
1.1893672267661233,1.8378881585366555,1.3928133162280794,wt
1.184892281993093,1.847669347623392,1.366912751676569,wt
1.180366151338801,1.857328469181365,1.3409807477206377,wt
1.175777796276241,1.8668584698248365,1.3149977195228422,wt
1.1711223335042398,1.8762350224809035,1.288986708206613,wt
