"timepoint","cell_group","category"
36,"early notochord sheath","lmx1b_only"
36,"gill ionocyte","lmx1b_only"
36,"neural crest, pre-migratory (prdm1a+)","lmx1b_only"
36,"neural tube-like connective tissue","lmx1b_only"
36,"unknown (neuron, hctr2+, opn8b+)","lmx1b_only"
36,"unknown parachordal cartilage","lmx1b_only"
36,"diencephalon, non-visual photoreceptor","ctrl_only"
36,"diencephalon, progenitor (suspected doublets)","ctrl_only"
36,"goblet cell","ctrl_only"
36,"head/neck muscle group 2","ctrl_only"
36,"hepatocyte","ctrl_only"
36,"myeloid (doublets, muscle , ttn.1+)","ctrl_only"
36,"odontoblast (tfr1a+)","ctrl_only"
36,"periderm (suspected doublets)","ctrl_only"
36,"retinal pigmented epithelium","ctrl_only"
36,"terminal epiderm 11","ctrl_only"
36,"terminal epiderm 13","ctrl_only"
36,"retina, progenitor (atoh7+) (suspected doublets)","both"
36,"terminal epiderm 16","both"
36,"terminal epiderm 3","both"
