feature,coefficient
z_mu_b_27,4.236436494159463
z_mu_b_61,3.8002444994981524
z_mu_b_73,3.7491218297930002
z_mu_b_59,3.1219971192734635
z_mu_b_39,1.8894682008305859
z_mu_b_22,1.8683915727281502
z_mu_b_47,1.8644776644629024
z_mu_b_72,1.7325766479902855
z_mu_b_79,1.463873423760377
z_mu_b_74,1.3055766896889622
z_mu_b_20,1.239503310615795
z_mu_b_50,1.0771809218713493
z_mu_b_90,1.055848492914119
z_mu_b_69,1.0339799260753142
z_mu_b_21,1.0099942358765637
z_mu_b_89,0.9230759980618065
z_mu_b_32,0.9141577286345073
z_mu_b_64,0.8004843832756627
z_mu_b_92,0.7494446279330272
z_mu_b_30,0.7364716575747571
z_mu_b_98,0.7152968515716038
z_mu_b_33,0.6083424213542865
z_mu_b_66,0.5130787054514705
z_mu_b_62,0.47045956914861525
z_mu_b_24,0.4324421888703455
z_mu_b_57,0.4252165365107251
z_mu_b_26,0.41181200619144803
z_mu_b_43,0.4078282287560098
z_mu_b_60,0.38219523237418424
z_mu_b_25,0.37392231588698394
z_mu_b_85,0.36651824840169905
z_mu_b_96,0.28650340147652914
z_mu_b_29,0.25023839551577826
z_mu_b_76,0.19438227442632236
z_mu_b_36,0.18252463713826925
z_mu_b_77,0.17346210783113342
z_mu_b_46,0.1358843581886294
z_mu_b_34,0.13202660845629785
z_mu_b_44,0.1245624970873683
z_mu_b_51,0.1107583032815941
z_mu_b_54,0.10508501455331698
z_mu_b_71,0.06980879800893669
z_mu_b_93,0.06605675405798661
z_mu_b_65,0.04568626101834819
z_mu_b_82,0.012566180916544085
z_mu_b_84,-0.02948405921503213
z_mu_b_38,-0.044642595831585107
z_mu_b_68,-0.04525909664866958
z_mu_b_67,-0.04784477073457442
z_mu_b_56,-0.12470759580948164
z_mu_b_45,-0.13343106683021153
z_mu_b_97,-0.14984722540830908
z_mu_b_35,-0.1727219283035326
z_mu_b_81,-0.22522522342940232
z_mu_b_83,-0.24066546012200193
z_mu_b_86,-0.3830497982773032
z_mu_b_48,-0.4162069930503223
z_mu_b_88,-0.4674245184556959
z_mu_b_95,-0.5306570464201398
z_mu_b_87,-0.6303873871555363
z_mu_b_37,-0.6901165569993458
z_mu_b_99,-0.710442028808351
z_mu_b_63,-0.7655281598441767
z_mu_b_31,-0.7914607460869539
z_mu_b_94,-0.8212688386866208
z_mu_b_42,-0.8952073386796122
z_mu_b_55,-0.934959866206009
z_mu_b_52,-1.045397989670194
z_mu_b_40,-1.2193128999808331
z_mu_b_41,-1.3204624755199232
z_mu_b_78,-1.4595864352072407
z_mu_b_75,-1.5579502840405932
z_mu_b_70,-1.6524381101784187
z_mu_b_80,-1.889871879550612
z_mu_b_91,-2.073340215550231
z_mu_b_28,-2.104911563195551
z_mu_b_53,-2.2518661354122522
z_mu_b_23,-2.3038794271810716
z_mu_b_49,-4.048109640563878
z_mu_b_58,-4.456723108254818
