feature,coefficient
z_mu_b_39,3.816846949436178
z_mu_b_58,3.732363777110767
z_mu_b_85,3.321104991487547
z_mu_b_90,2.886470747407483
z_mu_b_37,2.074941954753894
z_mu_b_73,2.0742073928823204
z_mu_b_56,1.7209043239843496
z_mu_b_34,1.3879406497217015
z_mu_b_27,1.3783879347624124
z_mu_b_78,1.322632759265554
z_mu_b_31,1.1559358982595107
z_mu_b_45,1.0367190387362448
z_mu_b_42,1.0048243648347475
z_mu_b_22,0.9989215963484002
z_mu_b_67,0.9163215843547947
z_mu_b_21,0.8452909004748129
z_mu_b_94,0.7513412983293415
z_mu_b_81,0.6759380846159152
z_mu_b_44,0.6142011983831881
z_mu_b_92,0.5714724611742206
z_mu_b_54,0.5579814338702492
z_mu_b_36,0.5398989612293438
z_mu_b_59,0.49909029494988505
z_mu_b_41,0.49313384893332796
z_mu_b_74,0.4546592794997408
z_mu_b_75,0.41050891645593773
z_mu_b_40,0.3975677435873063
z_mu_b_52,0.35560931187663336
z_mu_b_43,0.3289022584460241
z_mu_b_23,0.2595952170918971
z_mu_b_80,0.24802133404170534
z_mu_b_79,0.2242340264716534
z_mu_b_88,0.22361716494458664
z_mu_b_51,0.2104545290381064
z_mu_b_83,0.20068383016776795
z_mu_b_95,0.1517225026851539
z_mu_b_35,0.11492733101007105
z_mu_b_48,0.1139350498961201
z_mu_b_53,0.108312929792459
z_mu_b_32,0.09764072373668786
z_mu_b_93,0.08667854416441628
z_mu_b_86,0.010806434212160172
z_mu_b_62,0.005808097233070724
z_mu_b_91,-0.00020266694433323455
z_mu_b_63,-0.073900231985222
z_mu_b_96,-0.09674381271714749
z_mu_b_69,-0.11536474383106653
z_mu_b_99,-0.1348711305079708
z_mu_b_70,-0.14610943910555052
z_mu_b_30,-0.1795046853755898
z_mu_b_26,-0.22550329731278626
z_mu_b_50,-0.2583490367821016
z_mu_b_87,-0.2763072687522698
z_mu_b_38,-0.27733982378341754
z_mu_b_65,-0.2989982266147382
z_mu_b_64,-0.3624326496742604
z_mu_b_33,-0.38190556609608994
z_mu_b_25,-0.39675693799433237
z_mu_b_68,-0.42865995969779386
z_mu_b_57,-0.5206283327211019
z_mu_b_97,-0.548507447087912
z_mu_b_60,-0.6652140597579365
z_mu_b_49,-0.67552065225135
z_mu_b_55,-0.6758939240578852
z_mu_b_71,-0.7598625131388085
z_mu_b_72,-0.788584181113362
z_mu_b_89,-0.8290506597350829
z_mu_b_82,-0.8444216868410926
z_mu_b_28,-0.8479888107391043
z_mu_b_20,-0.9210151505445964
z_mu_b_98,-1.0829293563929954
z_mu_b_84,-1.1381562805509724
z_mu_b_47,-1.1632969949649261
z_mu_b_24,-1.4437833755006662
z_mu_b_66,-1.5375729990742064
z_mu_b_77,-1.6781207022048696
z_mu_b_29,-1.9322761031993136
z_mu_b_76,-2.0395857748285025
z_mu_b_46,-2.235278172868124
z_mu_b_61,-2.8101419857273013
