feature,coefficient
z_mu_b_73,3.661460796253955
z_mu_b_85,3.1224212933424194
z_mu_b_90,3.022368841858284
z_mu_b_22,2.2861772264560787
z_mu_b_59,1.948737612491366
z_mu_b_92,1.7090265818002355
z_mu_b_74,1.5221570943122287
z_mu_b_37,1.407843527862327
z_mu_b_39,1.3668812321225685
z_mu_b_21,1.3581627458504408
z_mu_b_43,1.3152895202082446
z_mu_b_79,1.2823420432743657
z_mu_b_81,1.1860779226639304
z_mu_b_54,1.050660538448756
z_mu_b_32,1.043310711327887
z_mu_b_67,1.0069225245728375
z_mu_b_50,0.8658595217541808
z_mu_b_96,0.7116254772055578
z_mu_b_56,0.697288851071401
z_mu_b_30,0.6114775557716627
z_mu_b_33,0.6072454762108769
z_mu_b_87,0.5816824893692631
z_mu_b_34,0.5560721978462526
z_mu_b_62,0.5540562236579364
z_mu_b_55,0.48664253434364513
z_mu_b_94,0.4554889183683859
z_mu_b_66,0.4433722354653622
z_mu_b_65,0.4184311175473101
z_mu_b_20,0.37130382647362625
z_mu_b_24,0.36151800675435797
z_mu_b_44,0.3568390812483311
z_mu_b_47,0.30260411000413195
z_mu_b_68,0.3019330404726922
z_mu_b_27,0.2999751657491703
z_mu_b_26,0.29933653309519276
z_mu_b_38,0.28134324490860674
z_mu_b_25,0.27801135339730854
z_mu_b_41,0.2719351804038624
z_mu_b_93,0.2674649144364753
z_mu_b_36,0.2182594921033908
z_mu_b_69,0.1197493256427853
z_mu_b_95,0.10414158904838212
z_mu_b_64,0.09879677259082313
z_mu_b_42,0.08816744167449846
z_mu_b_98,0.0622810919753916
z_mu_b_97,0.0011829973560169352
z_mu_b_58,-0.02048230803965262
z_mu_b_51,-0.07234873089035346
z_mu_b_78,-0.07791722199700656
z_mu_b_31,-0.07931736806746088
z_mu_b_35,-0.10691409653954621
z_mu_b_57,-0.1405715489580374
z_mu_b_83,-0.1866291272463903
z_mu_b_72,-0.27388068404287935
z_mu_b_99,-0.3417393301002168
z_mu_b_77,-0.3815125702929904
z_mu_b_48,-0.3874778881992513
z_mu_b_84,-0.49291208391591446
z_mu_b_88,-0.5769873481936983
z_mu_b_29,-0.5924299358481919
z_mu_b_63,-0.6074670807013525
z_mu_b_89,-0.6129653126055455
z_mu_b_86,-0.6919738898504313
z_mu_b_46,-0.7201165032934991
z_mu_b_60,-0.760736580516547
z_mu_b_71,-0.7904622060416144
z_mu_b_75,-0.8030216694121074
z_mu_b_45,-0.8463425848027958
z_mu_b_80,-0.8802264028189111
z_mu_b_28,-0.9137645664676345
z_mu_b_82,-1.1020107830765775
z_mu_b_40,-1.1703314897219603
z_mu_b_23,-1.3184671307580091
z_mu_b_61,-1.332706501967173
z_mu_b_52,-1.3511218109891523
z_mu_b_91,-1.4316706300888284
z_mu_b_76,-1.528793577823375
z_mu_b_70,-1.6122676937262574
z_mu_b_53,-1.681443416271186
z_mu_b_49,-2.7261568364833053
