feature,coefficient
z_mu_b_27,4.083938509564682
z_mu_b_39,3.1682108691123982
z_mu_b_85,1.928519584210703
z_mu_b_72,1.711117691501497
z_mu_b_69,1.664356761216529
z_mu_b_22,1.4282913307571514
z_mu_b_47,1.3487751223406073
z_mu_b_88,1.3005835225743232
z_mu_b_59,1.162238254002349
z_mu_b_61,1.1194598958502737
z_mu_b_73,1.0397313891371762
z_mu_b_95,0.9772849624574135
z_mu_b_34,0.8078429944472172
z_mu_b_45,0.7262674353358602
z_mu_b_64,0.6775597945382542
z_mu_b_92,0.6697128981149542
z_mu_b_24,0.6608475659475336
z_mu_b_51,0.645456268491683
z_mu_b_68,0.6225952506010435
z_mu_b_23,0.5961269031055781
z_mu_b_21,0.538214233242087
z_mu_b_62,0.49044240471675404
z_mu_b_84,0.4118594134261471
z_mu_b_81,0.3810774420597614
z_mu_b_50,0.3601092025603143
z_mu_b_33,0.3291851776245366
z_mu_b_67,0.3156857177348792
z_mu_b_98,0.31475698546049585
z_mu_b_44,0.28000372747559477
z_mu_b_99,0.2658091446438931
z_mu_b_35,0.23979768991869918
z_mu_b_31,0.23971227742548246
z_mu_b_71,0.22977482837113344
z_mu_b_86,0.174232610031047
z_mu_b_30,0.16562805698069102
z_mu_b_54,0.15591119254443603
z_mu_b_36,0.13857802054688106
z_mu_b_57,0.1297069305317597
z_mu_b_42,0.12755041622666063
z_mu_b_97,0.08159593126042886
z_mu_b_65,0.05667488084467138
z_mu_b_89,0.03276689655603526
z_mu_b_70,-0.0011936616981583854
z_mu_b_26,-0.02368985507511501
z_mu_b_60,-0.04219812820912534
z_mu_b_90,-0.07991816966953258
z_mu_b_55,-0.13788120169707122
z_mu_b_96,-0.15149711465569324
z_mu_b_56,-0.1572701918308147
z_mu_b_74,-0.1864626141310832
z_mu_b_77,-0.19453622079647573
z_mu_b_25,-0.2038620928245829
z_mu_b_52,-0.22228346343438157
z_mu_b_48,-0.2310988747285206
z_mu_b_32,-0.24258586071813856
z_mu_b_93,-0.27686882868859425
z_mu_b_83,-0.2774857835337175
z_mu_b_94,-0.2908368793608829
z_mu_b_41,-0.30154114860557046
z_mu_b_40,-0.32707953919438154
z_mu_b_79,-0.3402562520942979
z_mu_b_49,-0.3679480473883519
z_mu_b_82,-0.3916125709760267
z_mu_b_29,-0.44097839312160453
z_mu_b_87,-0.5262967796261464
z_mu_b_66,-0.5383107122827654
z_mu_b_38,-0.5459130338979471
z_mu_b_58,-0.558991927478395
z_mu_b_53,-0.6259968109199442
z_mu_b_43,-0.6653550838081497
z_mu_b_76,-0.8121509482778878
z_mu_b_28,-0.892322886081225
z_mu_b_80,-0.8996242297513298
z_mu_b_78,-0.9202208601296231
z_mu_b_46,-1.032503825511641
z_mu_b_63,-1.2626763646154295
z_mu_b_91,-1.2798120986530588
z_mu_b_20,-1.5097136690123174
z_mu_b_75,-1.6022208423989746
z_mu_b_37,-2.559304785178877
