feature,coefficient
z_mu_b_27,2.8273013770574082
z_mu_b_73,2.601436746494753
z_mu_b_69,2.4619672690155783
z_mu_b_39,1.7003030023235572
z_mu_b_59,1.5631307353881698
z_mu_b_72,1.4443408450695814
z_mu_b_22,1.4048809811384604
z_mu_b_47,1.1511567823500486
z_mu_b_21,0.9774872382812864
z_mu_b_74,0.8067810198489423
z_mu_b_61,0.7976779407540966
z_mu_b_88,0.7622593930389014
z_mu_b_66,0.7365524550682109
z_mu_b_50,0.6384035835947265
z_mu_b_92,0.5996353899427712
z_mu_b_43,0.571790657721894
z_mu_b_90,0.4716886022675493
z_mu_b_33,0.45277703987548623
z_mu_b_85,0.4480685746657312
z_mu_b_67,0.391961166426334
z_mu_b_79,0.3664240430213375
z_mu_b_68,0.35807002642832664
z_mu_b_20,0.3448383263392908
z_mu_b_36,0.32072834888349755
z_mu_b_81,0.2901835123461936
z_mu_b_29,0.27210575968417383
z_mu_b_64,0.23872862866145456
z_mu_b_54,0.23672065539291595
z_mu_b_26,0.22765997436529412
z_mu_b_76,0.1945892062767534
z_mu_b_62,0.17325220716669595
z_mu_b_86,0.1730206134779741
z_mu_b_25,0.16850604010618223
z_mu_b_30,0.15588961719863995
z_mu_b_98,0.129773151808669
z_mu_b_44,0.11424712366985157
z_mu_b_99,0.10506989321491914
z_mu_b_51,0.1030860532157964
z_mu_b_84,0.09657614973485101
z_mu_b_82,0.06367155834168371
z_mu_b_32,0.06176115351888877
z_mu_b_45,0.046899920095147846
z_mu_b_34,0.0321695888790602
z_mu_b_71,0.024010314358554188
z_mu_b_57,0.019364654032706492
z_mu_b_97,0.009377344154863269
z_mu_b_24,-0.01992779818457724
z_mu_b_89,-0.036385134216725526
z_mu_b_77,-0.058847843442242594
z_mu_b_93,-0.059452111079561186
z_mu_b_60,-0.08060596054234051
z_mu_b_96,-0.08550931318080499
z_mu_b_41,-0.1003190332560012
z_mu_b_35,-0.12370786796290059
z_mu_b_56,-0.14605349997876282
z_mu_b_83,-0.22599833430512956
z_mu_b_42,-0.24283799479821144
z_mu_b_55,-0.28977706709324896
z_mu_b_65,-0.2924004140078017
z_mu_b_38,-0.3405386990841617
z_mu_b_95,-0.34069894491995417
z_mu_b_31,-0.4268729131922139
z_mu_b_52,-0.48914515746491993
z_mu_b_46,-0.5069788128611715
z_mu_b_94,-0.5079003007496392
z_mu_b_48,-0.547440558098545
z_mu_b_87,-0.595793093885301
z_mu_b_63,-0.6477281238076659
z_mu_b_80,-0.7494455992741992
z_mu_b_70,-0.7936172239033712
z_mu_b_23,-0.9171111697556459
z_mu_b_75,-0.9532799309598254
z_mu_b_40,-0.9850140313756126
z_mu_b_28,-1.2745189260309493
z_mu_b_91,-1.3698793797258224
z_mu_b_37,-1.409727724829542
z_mu_b_53,-1.4437680949480416
z_mu_b_78,-1.7112394272589604
z_mu_b_49,-1.7656533450363225
z_mu_b_58,-3.004454748627033
