feature,coefficient
z_mu_b_85,4.158507067022162
z_mu_b_39,3.1165402842637313
z_mu_b_58,2.9668211525310393
z_mu_b_90,2.890421234272143
z_mu_b_37,2.2966858552569596
z_mu_b_78,1.857787630018636
z_mu_b_67,1.5363270863995562
z_mu_b_73,1.5343384392005706
z_mu_b_92,1.3732903762774344
z_mu_b_23,1.3585677661690347
z_mu_b_56,1.3549831045193326
z_mu_b_22,1.312455540571118
z_mu_b_69,1.3043331358169623
z_mu_b_42,1.3016635724500336
z_mu_b_59,1.242678828223789
z_mu_b_81,1.130850194530187
z_mu_b_88,1.0933765610408237
z_mu_b_55,1.0534551623227062
z_mu_b_94,1.037138351308006
z_mu_b_34,1.0274855758489376
z_mu_b_99,0.9478754139683975
z_mu_b_36,0.8027507831978035
z_mu_b_27,0.7762332650065845
z_mu_b_51,0.6735440923243372
z_mu_b_21,0.658725734661285
z_mu_b_50,0.4951716108954216
z_mu_b_31,0.4870815782991968
z_mu_b_96,0.4785599422242438
z_mu_b_74,0.4764356427822375
z_mu_b_62,0.2815717160243033
z_mu_b_35,0.23416292960461563
z_mu_b_30,0.2288469292792529
z_mu_b_93,0.1940014219555061
z_mu_b_87,0.18992073407167778
z_mu_b_53,0.18584846425044416
z_mu_b_33,0.1753317714177152
z_mu_b_52,0.05468908444544572
z_mu_b_57,0.05452600891419016
z_mu_b_38,0.04092000645843631
z_mu_b_26,0.003474000394655706
z_mu_b_86,-0.04234132056783175
z_mu_b_68,-0.07307757765076107
z_mu_b_54,-0.11836848601157433
z_mu_b_45,-0.13137878391327829
z_mu_b_44,-0.15933172786022726
z_mu_b_97,-0.21346039449460705
z_mu_b_65,-0.24144119962527025
z_mu_b_72,-0.26629477953362085
z_mu_b_49,-0.2806664438860964
z_mu_b_64,-0.3164824745580364
z_mu_b_48,-0.31789575256714003
z_mu_b_70,-0.3202215853662078
z_mu_b_84,-0.3299788426840775
z_mu_b_41,-0.330176258644381
z_mu_b_24,-0.37724484871574226
z_mu_b_63,-0.42912520407628146
z_mu_b_80,-0.4563912526435152
z_mu_b_95,-0.492401501165041
z_mu_b_47,-0.5073755781879246
z_mu_b_25,-0.5464664014289157
z_mu_b_71,-0.5802322981652923
z_mu_b_83,-0.5831585251236863
z_mu_b_79,-0.6159148611433647
z_mu_b_32,-0.665836840776856
z_mu_b_28,-0.733102756373032
z_mu_b_77,-0.7521518049485199
z_mu_b_91,-0.7531593267219305
z_mu_b_43,-0.7714003417882773
z_mu_b_75,-1.1074719084661613
z_mu_b_60,-1.156304987028226
z_mu_b_40,-1.2335859029057439
z_mu_b_89,-1.524793460060397
z_mu_b_82,-1.6499934299976362
z_mu_b_98,-1.6936579541943906
z_mu_b_20,-1.7940053618852807
z_mu_b_29,-1.8612589585498611
z_mu_b_76,-2.076302547677409
z_mu_b_46,-2.6028498352879637
z_mu_b_66,-3.461545843437484
z_mu_b_61,-3.754588393287835
