feature,coefficient
z_mu_b_85,3.4666997863631144
z_mu_b_90,3.1996562170482954
z_mu_b_37,2.489670724594235
z_mu_b_73,2.3596733469996765
z_mu_b_39,1.6703157021229338
z_mu_b_69,1.5935969555508331
z_mu_b_92,1.4909941195332446
z_mu_b_74,1.4365434713522989
z_mu_b_22,1.4289588758511627
z_mu_b_67,1.3818802503071599
z_mu_b_54,1.2878602436879252
z_mu_b_81,1.1822139223656933
z_mu_b_56,1.0052515197898424
z_mu_b_21,0.8461528946350363
z_mu_b_59,0.8382329159178029
z_mu_b_50,0.7410211821147087
z_mu_b_58,0.6646239920543922
z_mu_b_36,0.6433087497726893
z_mu_b_99,0.5506359477396008
z_mu_b_30,0.5479422281834746
z_mu_b_43,0.4901346675883697
z_mu_b_33,0.4505492406014283
z_mu_b_34,0.43099776947911445
z_mu_b_42,0.3194961401728396
z_mu_b_79,0.3163091132864987
z_mu_b_94,0.3157063775067953
z_mu_b_62,0.2947514545544519
z_mu_b_96,0.2802445681984225
z_mu_b_93,0.26171319258143394
z_mu_b_88,0.2434181603278858
z_mu_b_68,0.2335405772540513
z_mu_b_78,0.20364616147290246
z_mu_b_25,0.17587154809463523
z_mu_b_97,0.13643263802402045
z_mu_b_32,0.12597607166205424
z_mu_b_55,0.12226937742116899
z_mu_b_87,0.11672062104590546
z_mu_b_35,0.1162083909068352
z_mu_b_51,0.09646777169848829
z_mu_b_26,0.08634482107574466
z_mu_b_44,0.07530641973237912
z_mu_b_65,-0.06592105325579253
z_mu_b_77,-0.07200937268387363
z_mu_b_31,-0.08332374691067512
z_mu_b_41,-0.08848723136688406
z_mu_b_38,-0.10991688696843235
z_mu_b_80,-0.14355432549250546
z_mu_b_47,-0.1456230555829319
z_mu_b_57,-0.1534275972614689
z_mu_b_86,-0.15893078366408167
z_mu_b_63,-0.17756745967885315
z_mu_b_20,-0.1901161909843228
z_mu_b_83,-0.2500115012524976
z_mu_b_24,-0.2904664503506652
z_mu_b_91,-0.3022242405035023
z_mu_b_27,-0.3085689371846488
z_mu_b_23,-0.4198978167239087
z_mu_b_48,-0.5508764437951699
z_mu_b_72,-0.584605538974013
z_mu_b_71,-0.6925905693400329
z_mu_b_95,-0.7316256618587086
z_mu_b_28,-0.7371613035154305
z_mu_b_49,-0.7446860253624867
z_mu_b_64,-0.7596638569302246
z_mu_b_84,-0.7655630843687617
z_mu_b_45,-0.7704815221664082
z_mu_b_52,-0.7706709483894265
z_mu_b_66,-0.8308605208460675
z_mu_b_29,-0.8662205781491537
z_mu_b_98,-0.9402941436364926
z_mu_b_53,-1.0350633070945934
z_mu_b_40,-1.0569678331075498
z_mu_b_70,-1.0937159364825726
z_mu_b_82,-1.1459021913421017
z_mu_b_60,-1.17405298683744
z_mu_b_75,-1.277187868593849
z_mu_b_76,-1.3268125638044965
z_mu_b_46,-1.4598610704547512
z_mu_b_89,-1.5300545713106888
z_mu_b_61,-2.9469043116679643
