feature,coefficient
z_mu_b_61,1.5001741741471422
z_mu_b_73,1.499271205452084
z_mu_b_59,1.3832717976270088
z_mu_b_20,1.2059502780948954
z_mu_b_37,0.8884790846287999
z_mu_b_21,0.8070112319392877
z_mu_b_79,0.7884536072514807
z_mu_b_43,0.7706000236369257
z_mu_b_46,0.6880486508746566
z_mu_b_74,0.6315892668466936
z_mu_b_66,0.6179440969652719
z_mu_b_47,0.6066853228880772
z_mu_b_72,0.528502884868854
z_mu_b_22,0.48716508043127654
z_mu_b_57,0.38778920542288303
z_mu_b_84,0.37130376893986056
z_mu_b_92,0.3355858845270106
z_mu_b_50,0.3131902915118395
z_mu_b_42,0.298194298008955
z_mu_b_68,0.27606541975433363
z_mu_b_32,0.2606210274847726
z_mu_b_98,0.20662770852957776
z_mu_b_90,0.17823129420107875
z_mu_b_51,0.16396310184458934
z_mu_b_96,0.12842768954001665
z_mu_b_60,0.12251081508421562
z_mu_b_29,0.098217873668968
z_mu_b_27,0.09586901960613077
z_mu_b_52,0.092396731527513
z_mu_b_87,0.0780634944448719
z_mu_b_81,0.06775985800026794
z_mu_b_83,0.053883466043121574
z_mu_b_93,0.03835396684482649
z_mu_b_85,0.03708825992414353
z_mu_b_36,0.02579680783747493
z_mu_b_69,-0.004349193986981866
z_mu_b_76,-0.013061326136518121
z_mu_b_26,-0.018228397655047697
z_mu_b_56,-0.01985619008745094
z_mu_b_25,-0.023624916002577556
z_mu_b_62,-0.0331221583766504
z_mu_b_33,-0.03623492104039466
z_mu_b_97,-0.05088129748570757
z_mu_b_89,-0.06479309990072385
z_mu_b_82,-0.0834171721114593
z_mu_b_99,-0.08883980100270873
z_mu_b_77,-0.09610881442468212
z_mu_b_64,-0.10145353135305818
z_mu_b_44,-0.11840903465433009
z_mu_b_48,-0.12494946487673077
z_mu_b_67,-0.14229389711846915
z_mu_b_31,-0.16302284716622897
z_mu_b_88,-0.17352408103126735
z_mu_b_71,-0.1761329077180364
z_mu_b_39,-0.18255081528893047
z_mu_b_63,-0.18457510498434007
z_mu_b_45,-0.20139482897258343
z_mu_b_86,-0.2114217010445996
z_mu_b_55,-0.23115988448427996
z_mu_b_65,-0.24448734739448472
z_mu_b_41,-0.27027224484912016
z_mu_b_94,-0.29574889021729966
z_mu_b_38,-0.2967104539134604
z_mu_b_54,-0.35382610111734303
z_mu_b_34,-0.3898958365643028
z_mu_b_80,-0.4189995820313623
z_mu_b_35,-0.4248280139893649
z_mu_b_49,-0.4452592057191039
z_mu_b_24,-0.4729321250946156
z_mu_b_91,-0.495235277402137
z_mu_b_95,-0.5425495979211571
z_mu_b_78,-0.57323454769949
z_mu_b_53,-0.6470028559856116
z_mu_b_30,-0.6954091870904178
z_mu_b_28,-0.7390128962838372
z_mu_b_75,-0.8523927467333429
z_mu_b_70,-0.8826313622095321
z_mu_b_23,-1.0533089598144043
z_mu_b_40,-1.310049078410054
z_mu_b_58,-1.8034981060466233
