feature,coefficient
z_mu_b_73,2.759100362234715
z_mu_b_61,2.738483285486178
z_mu_b_59,2.671232860183817
z_mu_b_20,1.7382854534542154
z_mu_b_27,1.7063559424248347
z_mu_b_47,1.6191238503169934
z_mu_b_79,1.5261517293286144
z_mu_b_72,1.4510284772343274
z_mu_b_50,1.3020015065328177
z_mu_b_66,1.2570214679238048
z_mu_b_29,1.1537385135521732
z_mu_b_21,0.8347620918295426
z_mu_b_46,0.8209182282721392
z_mu_b_92,0.7524682500972976
z_mu_b_74,0.7068409348491571
z_mu_b_43,0.7066475098351555
z_mu_b_33,0.7008031246270761
z_mu_b_22,0.6911865768429641
z_mu_b_68,0.6064369149406998
z_mu_b_32,0.5985178612247471
z_mu_b_62,0.5463393816574929
z_mu_b_37,0.5423013827719181
z_mu_b_96,0.5316793662401524
z_mu_b_25,0.5129511879152365
z_mu_b_24,0.49736481670845606
z_mu_b_84,0.4550363826140752
z_mu_b_38,0.42444404330449903
z_mu_b_87,0.40572921998653694
z_mu_b_60,0.3760637568216945
z_mu_b_93,0.34659751877497624
z_mu_b_69,0.31553636537402935
z_mu_b_76,0.30332916645286717
z_mu_b_99,0.28881875706256005
z_mu_b_97,0.2534733222849838
z_mu_b_26,0.15954483312596296
z_mu_b_77,0.14368499097894902
z_mu_b_57,0.13121597865285184
z_mu_b_85,0.09462568714405943
z_mu_b_98,0.0475132828283847
z_mu_b_55,0.0322087497462996
z_mu_b_71,-0.0003313469043307853
z_mu_b_30,-0.030025645676107014
z_mu_b_67,-0.041165603972649616
z_mu_b_42,-0.07281740337562813
z_mu_b_51,-0.07976428750757703
z_mu_b_90,-0.0821393778379605
z_mu_b_64,-0.09480790149866394
z_mu_b_89,-0.10601478016569622
z_mu_b_36,-0.11923566590999818
z_mu_b_88,-0.22016727054894286
z_mu_b_56,-0.24998903555195742
z_mu_b_63,-0.25030217895782897
z_mu_b_48,-0.28212725671691113
z_mu_b_34,-0.3083802795632668
z_mu_b_86,-0.34886553374391116
z_mu_b_82,-0.37380359892570303
z_mu_b_35,-0.3742093964342366
z_mu_b_81,-0.42280253416545094
z_mu_b_83,-0.5047861953826568
z_mu_b_44,-0.5209618228561066
z_mu_b_41,-0.5682464121778334
z_mu_b_65,-0.6046118933980323
z_mu_b_94,-0.6077544979382148
z_mu_b_31,-0.6709064481587077
z_mu_b_39,-0.6883728493728316
z_mu_b_45,-0.698478320946296
z_mu_b_52,-0.910704968857356
z_mu_b_95,-1.0704786782585283
z_mu_b_78,-1.1267335993755931
z_mu_b_91,-1.1421169581369461
z_mu_b_54,-1.2356550092462164
z_mu_b_80,-1.269144577718174
z_mu_b_28,-1.374925000179475
z_mu_b_40,-1.4698561396611807
z_mu_b_53,-1.610206367252366
z_mu_b_70,-1.7246531500618965
z_mu_b_49,-1.8576935867410482
z_mu_b_23,-1.8807292196392402
z_mu_b_75,-2.3130445570413483
z_mu_b_58,-3.177516441793306
