"timepoint","cell_group","category"
"all","erythrocyte (doublets, periderm, evpla+)","lmx1b_only"
"all","gill ionocyte","lmx1b_only"
"all","neural tube-like connective tissue","lmx1b_only"
"all","terminal epiderm 16","lmx1b_only"
"all","terminal epiderm 9, differentiated 1","lmx1b_only"
"all","terminal periderm, cloaca","lmx1b_only"
"all","terminal epiderm 9, differentiated 2","lmx1b_only"
"all","unknown 1 (pancreas, ins+, gcga+, gcgb+, isl1+, sst1.1+)","lmx1b_only"
"all","unknown 3 (pancreas, suspected doublets)","lmx1b_only"
"all","apical ectodermal ridge, (ms1b+)","ctrl_only"
"all","dopaminergic neuron","ctrl_only"
"all","myeloid (doublets, muscle , ttn.1+)","ctrl_only"
"all","neural crest, pre-migratory (prdm1a+)","ctrl_only"
"all","neuron, telencephalon (nfixa+, nfixb+)","ctrl_only"
"all","odontoblast","ctrl_only"
"all","odontoblast (tfr1a+)","ctrl_only"
"all","retina, progenitor (atoh7+) (suspected doublets)","ctrl_only"
"all","retinal pigmented epithelium","ctrl_only"
"all","terminal epiderm 11","ctrl_only"
"all","terminal epiderm 13","ctrl_only"
"all","terminal epiderm 3","ctrl_only"
"all","posterior lateral line primordium","ctrl_only"
"all","fin mesenchyme","ctrl_only"
"all","diencephalon, non-visual photoreceptor","both"
"all","lens (suspected doublets)","both"
"all","terminal epiderm 14","both"
"all","hepatocyte","both"
