,,feature,coefficient
1,38,z_mu_b_58,2.894704890329822
1,17,z_mu_b_37,2.7784182533840758
1,19,z_mu_b_39,2.655122145400388
1,70,z_mu_b_90,2.3628685778351723
1,60,z_mu_b_80,2.0352452596012314
1,58,z_mu_b_78,1.8250884338923845
1,65,z_mu_b_85,1.5174050219515451
1,49,z_mu_b_69,1.418440003779092
1,16,z_mu_b_36,0.9638353291185466
1,55,z_mu_b_75,0.9634767183943884
1,23,z_mu_b_43,0.829708931225775
1,36,z_mu_b_56,0.8167908537870713
1,22,z_mu_b_42,0.8143887512671408
1,61,z_mu_b_81,0.8085442785609656
1,10,z_mu_b_30,0.7656490161266216
1,47,z_mu_b_67,0.7270897677415366
1,74,z_mu_b_94,0.6671883232743899
1,33,z_mu_b_53,0.5861169918622041
1,53,z_mu_b_73,0.5595414381868242
1,72,z_mu_b_92,0.5260322379709058
1,21,z_mu_b_41,0.5218652767350493
1,75,z_mu_b_95,0.4519557428472543
1,2,z_mu_b_22,0.44842390090363604
1,39,z_mu_b_59,0.4370618970568205
1,63,z_mu_b_83,0.42337372051999145
1,45,z_mu_b_65,0.40508767211947433
1,71,z_mu_b_91,0.2934829337965908
1,24,z_mu_b_44,0.28298595424655837
1,31,z_mu_b_51,0.225118256958156
1,62,z_mu_b_82,0.18283090971736604
1,43,z_mu_b_63,0.17522800752137763
1,11,z_mu_b_31,0.15188794798288527
1,73,z_mu_b_93,0.14349428928035607
1,1,z_mu_b_21,0.12281097656750671
1,28,z_mu_b_48,0.1110171301012559
1,67,z_mu_b_87,0.11062946595931662
1,68,z_mu_b_88,0.10544580487768236
1,34,z_mu_b_54,0.09026185319046086
1,42,z_mu_b_62,0.04759493442849693
1,37,z_mu_b_57,-0.006272631282423988
1,54,z_mu_b_74,-0.013892614713322243
1,25,z_mu_b_45,-0.02181918232548092
1,12,z_mu_b_32,-0.025903746214730468
1,30,z_mu_b_50,-0.04978032465387452
1,64,z_mu_b_84,-0.05680744223002944
1,48,z_mu_b_68,-0.07411944041021074
1,15,z_mu_b_35,-0.0914841712448211
1,14,z_mu_b_34,-0.09162574633878005
1,32,z_mu_b_52,-0.11783279021736469
1,5,z_mu_b_25,-0.16060228461865905
1,8,z_mu_b_28,-0.1656139974960788
1,6,z_mu_b_26,-0.17026216966130844
1,76,z_mu_b_96,-0.17205641513814712
1,27,z_mu_b_47,-0.18935371175153626
1,13,z_mu_b_33,-0.22088367364665318
1,40,z_mu_b_60,-0.2629747102915692
1,59,z_mu_b_79,-0.28761359060738145
1,29,z_mu_b_49,-0.4413953051146848
1,50,z_mu_b_70,-0.4794477702895898
1,79,z_mu_b_99,-0.5001549225081302
1,35,z_mu_b_55,-0.502810071661598
1,66,z_mu_b_86,-0.5400004910272176
1,77,z_mu_b_97,-0.6146497160098832
1,3,z_mu_b_23,-0.6596163735203872
1,57,z_mu_b_77,-0.7682307331706785
1,44,z_mu_b_64,-0.7756374243415045
1,52,z_mu_b_72,-0.7991525390765718
1,18,z_mu_b_38,-0.8719339760432053
1,51,z_mu_b_71,-0.9524683967483166
1,26,z_mu_b_46,-1.082592613770117
1,20,z_mu_b_40,-1.0859360175085633
1,4,z_mu_b_24,-1.090975939867816
1,0,z_mu_b_20,-1.1118793954533261
1,9,z_mu_b_29,-1.3867631261167352
1,69,z_mu_b_89,-1.414483624449831
1,46,z_mu_b_66,-1.5895387341932603
1,78,z_mu_b_98,-1.5911510455168152
1,7,z_mu_b_27,-1.6096322343806697
1,56,z_mu_b_76,-1.8857579095407841
1,41,z_mu_b_61,-2.832732809232012
2,38,z_mu_b_58,2.730983450992576
2,17,z_mu_b_37,2.6004454264879526
2,19,z_mu_b_39,2.3846264549939153
2,70,z_mu_b_90,2.3131385400508093
2,58,z_mu_b_78,2.1808504575393326
2,60,z_mu_b_80,1.8526074823307952
2,65,z_mu_b_85,1.7505974529650428
2,55,z_mu_b_75,1.3056603271691554
2,49,z_mu_b_69,1.296974362358127
2,61,z_mu_b_81,0.972167533022379
2,16,z_mu_b_36,0.9697702223536351
2,75,z_mu_b_95,0.7414103724108007
2,22,z_mu_b_42,0.7283918189601053
2,47,z_mu_b_67,0.7199671998966818
2,10,z_mu_b_30,0.7009804005374088
2,33,z_mu_b_53,0.6898979992962941
2,36,z_mu_b_56,0.6492881145552987
2,21,z_mu_b_41,0.637035475649475
2,74,z_mu_b_94,0.6307824661135001
2,39,z_mu_b_59,0.5978548683792919
2,71,z_mu_b_91,0.5326843916957001
2,23,z_mu_b_43,0.5108254646675924
2,63,z_mu_b_83,0.42220317280341013
2,72,z_mu_b_92,0.41359502193000913
2,53,z_mu_b_73,0.40086913620794035
2,45,z_mu_b_65,0.39964114971664794
2,2,z_mu_b_22,0.28765408182978613
2,28,z_mu_b_48,0.2865546022273006
2,73,z_mu_b_93,0.26694382577335407
2,11,z_mu_b_31,0.2512320050122817
2,67,z_mu_b_87,0.1800928845032029
2,1,z_mu_b_21,0.17739365670084972
2,68,z_mu_b_88,0.12670540779240996
2,32,z_mu_b_52,0.11842875119710392
2,24,z_mu_b_44,0.09867368640157993
2,31,z_mu_b_51,0.08919778126540318
2,43,z_mu_b_63,0.08492640846329548
2,34,z_mu_b_54,0.07451169273130535
2,14,z_mu_b_34,0.05092310945802621
2,62,z_mu_b_82,0.003726596614586942
2,3,z_mu_b_23,-0.0031392063682305986
2,30,z_mu_b_50,-0.020452938241346183
2,48,z_mu_b_68,-0.021819002795817957
2,54,z_mu_b_74,-0.036912974423433276
2,76,z_mu_b_96,-0.07034974381270216
2,27,z_mu_b_47,-0.07906547724216205
2,15,z_mu_b_35,-0.0958640067749211
2,12,z_mu_b_32,-0.12870711222716005
2,6,z_mu_b_26,-0.1370821308813844
2,64,z_mu_b_84,-0.15989923584495078
2,5,z_mu_b_25,-0.19012870984431646
2,42,z_mu_b_62,-0.1909895664081251
2,13,z_mu_b_33,-0.2148936766790765
2,59,z_mu_b_79,-0.2310249387392882
2,37,z_mu_b_57,-0.2620972372558601
2,40,z_mu_b_60,-0.2998286576397447
2,8,z_mu_b_28,-0.3125150567442196
2,50,z_mu_b_70,-0.3684428786017989
2,25,z_mu_b_45,-0.44490558698878
2,79,z_mu_b_99,-0.44545573161942026
2,35,z_mu_b_55,-0.446016864866228
2,66,z_mu_b_86,-0.4823661563647982
2,29,z_mu_b_49,-0.5120682681173767
2,77,z_mu_b_97,-0.5566988196441975
2,52,z_mu_b_72,-0.6087914766552993
2,44,z_mu_b_64,-0.68132328700665
2,57,z_mu_b_77,-0.684414399080615
2,18,z_mu_b_38,-0.6974223327779333
2,20,z_mu_b_40,-0.7443566322397805
2,4,z_mu_b_24,-0.7600305184166442
2,51,z_mu_b_71,-0.831785947716138
2,26,z_mu_b_46,-0.9445811782729479
2,78,z_mu_b_98,-1.1029554953497305
2,0,z_mu_b_20,-1.1408046184121028
2,69,z_mu_b_89,-1.2420265724784363
2,9,z_mu_b_29,-1.3644336152876264
2,7,z_mu_b_27,-1.6253378646611414
2,46,z_mu_b_66,-1.814023206120212
2,56,z_mu_b_76,-2.027768423142587
2,41,z_mu_b_61,-2.663112252370273
3,38,z_mu_b_58,2.6956886882628437
3,70,z_mu_b_90,2.434711875632455
3,17,z_mu_b_37,2.290063632325697
3,19,z_mu_b_39,2.188158824484181
3,58,z_mu_b_78,2.0015929276788405
3,60,z_mu_b_80,1.8947662100264917
3,65,z_mu_b_85,1.646305954619484
3,49,z_mu_b_69,1.3110118355632117
3,47,z_mu_b_67,1.0361305203791897
3,16,z_mu_b_36,0.9304447249165981
3,61,z_mu_b_81,0.897393383191716
3,23,z_mu_b_43,0.8350457244292712
3,55,z_mu_b_75,0.7951728759144243
3,53,z_mu_b_73,0.7841075496075297
3,22,z_mu_b_42,0.6985311982736431
3,10,z_mu_b_30,0.6824615157113203
3,36,z_mu_b_56,0.647779375516365
3,72,z_mu_b_92,0.6058672525142058
3,74,z_mu_b_94,0.599014576457695
3,21,z_mu_b_41,0.5189049745382496
3,33,z_mu_b_53,0.5135844363356323
3,63,z_mu_b_83,0.49732353961988235
3,11,z_mu_b_31,0.4499498819646852
3,39,z_mu_b_59,0.41641187961071874
3,71,z_mu_b_91,0.4066307216203701
3,2,z_mu_b_22,0.4028754406047789
3,27,z_mu_b_47,0.3635983390405732
3,45,z_mu_b_65,0.34348784817209316
3,68,z_mu_b_88,0.2345279092379044
3,31,z_mu_b_51,0.22644636034430907
3,54,z_mu_b_74,0.22591737807743648
3,28,z_mu_b_48,0.2010234417273142
3,73,z_mu_b_93,0.20008292562092578
3,14,z_mu_b_34,0.16953349072181256
3,75,z_mu_b_95,0.15180112717256655
3,1,z_mu_b_21,0.1512369147972138
3,24,z_mu_b_44,0.1155909795156421
3,67,z_mu_b_87,0.09910554997309765
3,25,z_mu_b_45,0.09842660541684184
3,43,z_mu_b_63,0.09759076832292446
3,62,z_mu_b_82,0.0644102318690114
3,32,z_mu_b_52,0.030198230995430626
3,5,z_mu_b_25,-0.0075311362538112315
3,48,z_mu_b_68,-0.025586007973699823
3,76,z_mu_b_96,-0.08319179706832668
3,15,z_mu_b_35,-0.12123509775876189
3,29,z_mu_b_49,-0.1247589588519886
3,30,z_mu_b_50,-0.14241117359632072
3,42,z_mu_b_62,-0.1472837517687978
3,34,z_mu_b_54,-0.16760712449900037
3,79,z_mu_b_99,-0.19548393569305658
3,50,z_mu_b_70,-0.22604548510662426
3,37,z_mu_b_57,-0.252448021942565
3,13,z_mu_b_33,-0.25962041336949715
3,64,z_mu_b_84,-0.2672865697884437
3,44,z_mu_b_64,-0.2704300366557228
3,59,z_mu_b_79,-0.272026752503063
3,3,z_mu_b_23,-0.3253866485641879
3,6,z_mu_b_26,-0.32923502216473094
3,12,z_mu_b_32,-0.3606210330533402
3,40,z_mu_b_60,-0.36879199447532957
3,52,z_mu_b_72,-0.4778221147208125
3,18,z_mu_b_38,-0.5030335465040146
3,66,z_mu_b_86,-0.5117376082489299
3,77,z_mu_b_97,-0.6015398840221976
3,57,z_mu_b_77,-0.6689286857972954
3,8,z_mu_b_28,-0.6745459333947983
3,35,z_mu_b_55,-0.6804603906231087
3,20,z_mu_b_40,-0.7922583610788536
3,51,z_mu_b_71,-0.9047883175244467
3,0,z_mu_b_20,-0.9534872305000196
3,4,z_mu_b_24,-1.0072114144552238
3,78,z_mu_b_98,-1.0421582673517098
3,26,z_mu_b_46,-1.0494094221679218
3,69,z_mu_b_89,-1.2860655856667944
3,9,z_mu_b_29,-1.3254565164168808
3,7,z_mu_b_27,-1.358112575947912
