feature,coefficient
z_mu_b_58,2.894704890329822
z_mu_b_37,2.7784182533840758
z_mu_b_39,2.655122145400388
z_mu_b_90,2.3628685778351723
z_mu_b_80,2.0352452596012314
z_mu_b_78,1.8250884338923845
z_mu_b_85,1.5174050219515451
z_mu_b_69,1.418440003779092
z_mu_b_36,0.9638353291185466
z_mu_b_75,0.9634767183943884
z_mu_b_43,0.829708931225775
z_mu_b_56,0.8167908537870713
z_mu_b_42,0.8143887512671408
z_mu_b_81,0.8085442785609656
z_mu_b_30,0.7656490161266216
z_mu_b_67,0.7270897677415366
z_mu_b_94,0.6671883232743899
z_mu_b_53,0.5861169918622041
z_mu_b_73,0.5595414381868242
z_mu_b_92,0.5260322379709058
z_mu_b_41,0.5218652767350493
z_mu_b_95,0.4519557428472543
z_mu_b_22,0.44842390090363604
z_mu_b_59,0.4370618970568205
z_mu_b_83,0.42337372051999145
z_mu_b_65,0.40508767211947433
z_mu_b_91,0.2934829337965908
z_mu_b_44,0.28298595424655837
z_mu_b_51,0.225118256958156
z_mu_b_82,0.18283090971736604
z_mu_b_63,0.17522800752137763
z_mu_b_31,0.15188794798288527
z_mu_b_93,0.14349428928035607
z_mu_b_21,0.12281097656750671
z_mu_b_48,0.1110171301012559
z_mu_b_87,0.11062946595931662
z_mu_b_88,0.10544580487768236
z_mu_b_54,0.09026185319046086
z_mu_b_62,0.04759493442849693
z_mu_b_57,-0.006272631282423988
z_mu_b_74,-0.013892614713322243
z_mu_b_45,-0.02181918232548092
z_mu_b_32,-0.025903746214730468
z_mu_b_50,-0.04978032465387452
z_mu_b_84,-0.05680744223002944
z_mu_b_68,-0.07411944041021074
z_mu_b_35,-0.0914841712448211
z_mu_b_34,-0.09162574633878005
z_mu_b_52,-0.11783279021736469
z_mu_b_25,-0.16060228461865905
z_mu_b_28,-0.1656139974960788
z_mu_b_26,-0.17026216966130844
z_mu_b_96,-0.17205641513814712
z_mu_b_47,-0.18935371175153626
z_mu_b_33,-0.22088367364665318
z_mu_b_60,-0.2629747102915692
z_mu_b_79,-0.28761359060738145
z_mu_b_49,-0.4413953051146848
z_mu_b_70,-0.4794477702895898
z_mu_b_99,-0.5001549225081302
z_mu_b_55,-0.502810071661598
z_mu_b_86,-0.5400004910272176
z_mu_b_97,-0.6146497160098832
z_mu_b_23,-0.6596163735203872
z_mu_b_77,-0.7682307331706785
z_mu_b_64,-0.7756374243415045
z_mu_b_72,-0.7991525390765718
z_mu_b_38,-0.8719339760432053
z_mu_b_71,-0.9524683967483166
z_mu_b_46,-1.082592613770117
z_mu_b_40,-1.0859360175085633
z_mu_b_24,-1.090975939867816
z_mu_b_20,-1.1118793954533261
z_mu_b_29,-1.3867631261167352
z_mu_b_89,-1.414483624449831
z_mu_b_66,-1.5895387341932603
z_mu_b_98,-1.5911510455168152
z_mu_b_27,-1.6096322343806697
z_mu_b_76,-1.8857579095407841
z_mu_b_61,-2.832732809232012
