feature,coefficient
z_mu_b_58,2.820187560082167
z_mu_b_37,2.605342171987139
z_mu_b_39,2.4793785240847654
z_mu_b_90,2.2637322791752634
z_mu_b_78,1.9596557791962295
z_mu_b_80,1.9075862693869925
z_mu_b_85,1.836181106618025
z_mu_b_69,1.404252525571522
z_mu_b_75,1.3764874525837227
z_mu_b_36,1.017476011113286
z_mu_b_81,0.8284761492660145
z_mu_b_43,0.8165207584938386
z_mu_b_30,0.7847896403879485
z_mu_b_67,0.7516387948095751
z_mu_b_53,0.7263315567006899
z_mu_b_73,0.7120063989603111
z_mu_b_56,0.6599066577536588
z_mu_b_94,0.6483726103323209
z_mu_b_42,0.5729575591600322
z_mu_b_95,0.5530285028896301
z_mu_b_41,0.5145595049630424
z_mu_b_83,0.5005112788361149
z_mu_b_65,0.4735303804584867
z_mu_b_91,0.47311230465130655
z_mu_b_59,0.44290505643629036
z_mu_b_22,0.4162576747368283
z_mu_b_92,0.4090227475652429
z_mu_b_31,0.2590495411290969
z_mu_b_44,0.24511325223012018
z_mu_b_48,0.23545100068358457
z_mu_b_88,0.1664466091997431
z_mu_b_54,0.1540599712921816
z_mu_b_51,0.1489245276813535
z_mu_b_82,0.1416008993226591
z_mu_b_93,0.13753332738445692
z_mu_b_63,0.13230852601560705
z_mu_b_47,0.12783078722712268
z_mu_b_52,0.06626570235184859
z_mu_b_21,0.05296237742833403
z_mu_b_87,0.015364957013275983
z_mu_b_34,-0.003310729866488382
z_mu_b_74,-0.011649080213370923
z_mu_b_96,-0.04272467341662985
z_mu_b_50,-0.07259802663146964
z_mu_b_68,-0.09971437753922169
z_mu_b_35,-0.10479871495281787
z_mu_b_45,-0.15057926515457631
z_mu_b_28,-0.1576158896167045
z_mu_b_25,-0.21487693718760928
z_mu_b_26,-0.235762222166508
z_mu_b_62,-0.26269079411165325
z_mu_b_33,-0.26421744455712576
z_mu_b_32,-0.27734045791574774
z_mu_b_23,-0.2834615856222177
z_mu_b_84,-0.29186228891631366
z_mu_b_57,-0.29545519183946717
z_mu_b_60,-0.3138679434235489
z_mu_b_79,-0.3848153657457704
z_mu_b_49,-0.40404172261493987
z_mu_b_99,-0.4091562338242682
z_mu_b_70,-0.42542190742959657
z_mu_b_86,-0.5096673289772229
z_mu_b_97,-0.5441310623957119
z_mu_b_38,-0.5852106719154696
z_mu_b_72,-0.6667911659109509
z_mu_b_77,-0.6871605428934524
z_mu_b_55,-0.7470786043615761
z_mu_b_64,-0.7790119609130738
z_mu_b_46,-0.8352227492504452
z_mu_b_71,-0.8456255843968767
z_mu_b_24,-0.9587754512106434
z_mu_b_20,-0.9956221410989345
z_mu_b_40,-1.0133188687452521
z_mu_b_98,-1.0356649164462552
z_mu_b_29,-1.3581354141571023
z_mu_b_89,-1.4301787469755678
z_mu_b_66,-1.5117050252622257
z_mu_b_27,-1.6616790598193834
z_mu_b_76,-1.8309871629279264
z_mu_b_61,-2.6363681226926263
z_mu_b_58,3.0232953030812397
z_mu_b_90,2.6620983096951716
z_mu_b_37,2.6279384906480088
z_mu_b_39,2.435098486992866
z_mu_b_78,2.0094106372271114
z_mu_b_80,1.9855471007944774
z_mu_b_85,1.7721175871538177
z_mu_b_69,1.2597892630580507
z_mu_b_81,1.0968905756856757
z_mu_b_42,0.9542364482038451
z_mu_b_43,0.8513763517635892
z_mu_b_67,0.8059085321087365
z_mu_b_75,0.7992460507483166
z_mu_b_36,0.7861202746587598
z_mu_b_56,0.7056129958627411
z_mu_b_94,0.6024878774980015
z_mu_b_91,0.5610045115355378
z_mu_b_41,0.5380852726936531
z_mu_b_30,0.5377818867184695
z_mu_b_73,0.5302592164184468
z_mu_b_83,0.5220746050567721
z_mu_b_92,0.478834144550476
z_mu_b_59,0.428018731302809
z_mu_b_22,0.41522051581059366
z_mu_b_31,0.414849772800212
z_mu_b_95,0.4073548332811726
z_mu_b_53,0.3312101460501102
z_mu_b_93,0.28613011387899406
z_mu_b_48,0.2699523359175413
z_mu_b_21,0.2327200102167072
z_mu_b_51,0.23179454559642798
z_mu_b_87,0.20006543141052374
z_mu_b_44,0.1767593446530262
z_mu_b_65,0.1672141269098227
z_mu_b_63,0.14775709537839712
z_mu_b_45,0.13558664963820638
z_mu_b_34,0.12728801010555504
z_mu_b_52,0.09814668791177325
z_mu_b_54,0.09755528228762428
z_mu_b_88,0.022942740546616207
z_mu_b_82,0.012409017106651404
z_mu_b_68,-0.04373786234177071
z_mu_b_96,-0.04922694198628447
z_mu_b_74,-0.05042343743235582
z_mu_b_25,-0.07574522766086547
z_mu_b_62,-0.08044071069114588
