feature,coefficient
z_mu_b_99,1.1737901165815816
z_mu_b_88,1.087932925648048
z_mu_b_91,1.0080497531681543
z_mu_b_36,0.9256259402903734
z_mu_b_84,0.9040067079069983
z_mu_b_38,0.8386878672502842
z_mu_b_41,0.7849207485426694
z_mu_b_55,0.7335722780658989
z_mu_b_22,0.6675180348785826
z_mu_b_73,0.6298776966345287
z_mu_b_49,0.6030739084220162
z_mu_b_35,0.56764135704938
z_mu_b_67,0.5343743961228261
z_mu_b_95,0.48219082865002316
z_mu_b_98,0.4790111058147402
z_mu_b_59,0.44715137366160623
z_mu_b_31,0.4470915878544063
z_mu_b_48,0.43121573264454843
z_mu_b_20,0.425037734002898
z_mu_b_26,0.41968197636904164
z_mu_b_30,0.4015958740325818
z_mu_b_62,0.276541037555402
z_mu_b_93,0.26847424570571643
z_mu_b_81,0.24333811627386048
z_mu_b_72,0.24059662185523245
z_mu_b_96,0.22855649146999962
z_mu_b_97,0.20636883898489236
z_mu_b_77,0.19867234887552845
z_mu_b_43,0.19151554223529757
z_mu_b_21,0.15680691280469544
z_mu_b_94,0.1565723112552698
z_mu_b_61,0.1539092344600034
z_mu_b_57,0.15326693802283942
z_mu_b_33,0.1381385228165473
z_mu_b_71,0.10622282709039317
z_mu_b_85,0.08634066896433408
z_mu_b_76,0.06899315441387965
z_mu_b_54,0.0491633010531889
z_mu_b_58,0.03952771567877527
z_mu_b_79,0.026932931353589453
z_mu_b_56,0.01815891104024187
z_mu_b_92,0.016288741232170636
z_mu_b_66,0.010465980654104354
z_mu_b_27,-0.05141188036456174
z_mu_b_75,-0.052876419096524685
z_mu_b_65,-0.06299169332148931
z_mu_b_53,-0.07385886776370809
z_mu_b_86,-0.07386961629864762
z_mu_b_24,-0.17448892417690048
z_mu_b_90,-0.22774253112056572
z_mu_b_74,-0.24227835705908665
z_mu_b_64,-0.289839052955772
z_mu_b_82,-0.31351059373546064
z_mu_b_40,-0.35909095042990197
z_mu_b_89,-0.36196376212431586
z_mu_b_28,-0.3868871178235891
z_mu_b_83,-0.41864185641881574
z_mu_b_23,-0.4283001342034324
z_mu_b_25,-0.44128722988742436
z_mu_b_34,-0.4412873301889448
z_mu_b_80,-0.46973642358303486
z_mu_b_87,-0.524190901803101
z_mu_b_47,-0.5562819888117222
z_mu_b_42,-0.6742973136894069
z_mu_b_52,-0.696485199845122
z_mu_b_70,-0.697904140059128
z_mu_b_39,-0.7046485945881622
z_mu_b_50,-0.7601093116532079
z_mu_b_46,-0.80819544760493
z_mu_b_68,-0.8761615824325378
z_mu_b_29,-0.8825763103254022
z_mu_b_63,-0.9379824063867278
z_mu_b_32,-1.0017559895478534
z_mu_b_37,-1.0430227036481523
z_mu_b_44,-1.128728540163362
z_mu_b_60,-1.1692511187156598
z_mu_b_78,-1.1961713912975975
z_mu_b_51,-1.241534890736819
z_mu_b_45,-1.264738177726224
z_mu_b_69,-1.9920529827361602
