feature,coefficient
z_mu_b_55,2.659207043473017
z_mu_b_61,2.503187918752473
z_mu_b_92,2.307284807011006
z_mu_b_84,1.622981132701107
z_mu_b_98,1.5600368652542405
z_mu_b_64,1.4616137068550594
z_mu_b_54,1.4591365717550562
z_mu_b_73,1.397912709368667
z_mu_b_36,1.0960088997027353
z_mu_b_82,1.0440072149302897
z_mu_b_91,0.8563700572061748
z_mu_b_57,0.7722578572729809
z_mu_b_38,0.5822375184104797
z_mu_b_44,0.4181166310839758
z_mu_b_33,0.39386080576152843
z_mu_b_26,0.37958467035544646
z_mu_b_88,0.3580066736610504
z_mu_b_62,0.32395842935864194
z_mu_b_20,0.23510000981155113
z_mu_b_79,0.21576993759145568
z_mu_b_47,0.21484616983155944
z_mu_b_83,0.21336527614662026
z_mu_b_66,0.2126784203521643
z_mu_b_56,0.20038345361072893
z_mu_b_34,0.17606010711413356
z_mu_b_94,0.140352113075736
z_mu_b_59,0.13050404291075315
z_mu_b_75,0.1236282670118568
z_mu_b_86,0.09831107965502502
z_mu_b_71,0.07648383990329113
z_mu_b_65,0.0735078263553466
z_mu_b_76,0.04493099408268614
z_mu_b_85,0.03151103958618955
z_mu_b_58,0.02308887168068827
z_mu_b_49,-0.024331061958113093
z_mu_b_42,-0.039198589735327395
z_mu_b_48,-0.09840296945705822
z_mu_b_51,-0.16927511467165002
z_mu_b_99,-0.17381876146476127
z_mu_b_90,-0.18185055825762853
z_mu_b_95,-0.19872562951258518
z_mu_b_25,-0.2209407418699116
z_mu_b_45,-0.2326507681025553
z_mu_b_87,-0.2454686299936174
z_mu_b_80,-0.26571770510018217
z_mu_b_50,-0.26815474745502366
z_mu_b_22,-0.28095057314624017
z_mu_b_46,-0.32114044744914577
z_mu_b_52,-0.3587391862700231
z_mu_b_72,-0.3656194775596946
z_mu_b_31,-0.3962176128498474
z_mu_b_41,-0.42943852894293433
z_mu_b_96,-0.48694044606527015
z_mu_b_93,-0.4931318370848697
z_mu_b_89,-0.5091117934317467
z_mu_b_37,-0.5147713946580683
z_mu_b_32,-0.5370500284701555
z_mu_b_21,-0.5603305246738047
z_mu_b_77,-0.594052220255555
z_mu_b_67,-0.626426886805837
z_mu_b_39,-0.6658047262265043
z_mu_b_60,-0.7533956748090732
z_mu_b_70,-0.7835508221732426
z_mu_b_97,-0.7895469911395885
z_mu_b_35,-0.7938595629603133
z_mu_b_68,-0.8577525645864593
z_mu_b_29,-0.9001103691706619
z_mu_b_63,-0.9136325698559509
z_mu_b_81,-0.9767102725762672
z_mu_b_53,-0.989599310169301
z_mu_b_43,-1.0022643024820475
z_mu_b_40,-1.1632414313609978
z_mu_b_78,-1.1881374660545458
z_mu_b_74,-1.223239806695085
z_mu_b_30,-1.338732171550309
z_mu_b_24,-1.3506993010455663
z_mu_b_28,-1.3835441694308293
z_mu_b_27,-1.6448227829767788
z_mu_b_23,-1.86378896882008
z_mu_b_69,-1.98355040800981
