feature,coefficient
z_mu_b_66,3.004520099991848
z_mu_b_28,2.5275247431865147
z_mu_b_30,2.096916780594038
z_mu_b_64,1.85095350383246
z_mu_b_95,1.5874446735216834
z_mu_b_63,1.5488632176464132
z_mu_b_40,1.4318456341440142
z_mu_b_61,1.0166037444942777
z_mu_b_92,0.9165828057478934
z_mu_b_55,0.8055073274578906
z_mu_b_31,0.7571743904186125
z_mu_b_82,0.7527215896303945
z_mu_b_88,0.7029350181561731
z_mu_b_86,0.6776433363013914
z_mu_b_90,0.6395324547453733
z_mu_b_96,0.5353437487205345
z_mu_b_52,0.5220250276323166
z_mu_b_85,0.5008879340695919
z_mu_b_76,0.4564478713268437
z_mu_b_56,0.45518880036149717
z_mu_b_41,0.42048950118599177
z_mu_b_59,0.3932837785381659
z_mu_b_77,0.3526071115126583
z_mu_b_84,0.34652051550106777
z_mu_b_74,0.3300800924796404
z_mu_b_81,0.2946992017730234
z_mu_b_70,0.29372120093752585
z_mu_b_89,0.27094366617628635
z_mu_b_99,0.2089642112093826
z_mu_b_83,0.19500369149146987
z_mu_b_25,0.18274054841829365
z_mu_b_67,0.17548406374440245
z_mu_b_71,0.16547486652833765
z_mu_b_80,0.16300054513460288
z_mu_b_46,0.1560612908569964
z_mu_b_93,0.1389295875611559
z_mu_b_44,0.13249687511357383
z_mu_b_87,0.1259322356820249
z_mu_b_47,0.11500785699038045
z_mu_b_43,0.10528832022225167
z_mu_b_42,0.08722934349190595
z_mu_b_97,0.0742462888636584
z_mu_b_34,0.055263667856913445
z_mu_b_22,-0.017858918410724536
z_mu_b_65,-0.03623876757334468
z_mu_b_49,-0.07044301486779868
z_mu_b_29,-0.08244582198287685
z_mu_b_98,-0.12921052592596677
z_mu_b_35,-0.14063014567770893
z_mu_b_38,-0.1507322837853581
z_mu_b_51,-0.22985602117134396
z_mu_b_36,-0.24472896407082703
z_mu_b_94,-0.30200016152166126
z_mu_b_33,-0.3074031123368664
z_mu_b_20,-0.33156566518332914
z_mu_b_50,-0.35137414570563813
z_mu_b_48,-0.4020959297546877
z_mu_b_39,-0.41213186571084653
z_mu_b_62,-0.41975463653561673
z_mu_b_26,-0.4697528086898112
z_mu_b_79,-0.5114744361276305
z_mu_b_54,-0.5660449557060412
z_mu_b_21,-0.5948262139702333
z_mu_b_32,-0.5974687718050291
z_mu_b_57,-0.6596801523117592
z_mu_b_24,-0.7871453978362746
z_mu_b_45,-0.8324037939564363
z_mu_b_75,-0.859748842490684
z_mu_b_78,-0.8663828466432931
z_mu_b_53,-0.9781073315322715
z_mu_b_68,-0.9825631699723382
z_mu_b_91,-1.1226794183468511
z_mu_b_23,-1.1306252241529027
z_mu_b_27,-1.3716602315179216
z_mu_b_58,-1.4587994014920436
z_mu_b_73,-1.4924446310156383
z_mu_b_72,-1.5740773653623399
z_mu_b_37,-1.720367356006301
z_mu_b_60,-1.9047379282490056
z_mu_b_69,-3.6175183130549042
