feature,coefficient
z_mu_b_30,3.9139840237955235
z_mu_b_61,2.5565332152096
z_mu_b_54,2.3956015470043406
z_mu_b_28,2.377707435530601
z_mu_b_64,2.2613798942234054
z_mu_b_63,2.2139707553439902
z_mu_b_52,1.7910402158361258
z_mu_b_20,1.7718724664936552
z_mu_b_76,1.753279857156628
z_mu_b_36,1.6452757418172208
z_mu_b_39,1.5182653882678256
z_mu_b_93,1.4754864598119084
z_mu_b_41,1.4624633562762883
z_mu_b_92,1.3480129168820398
z_mu_b_99,1.1140333699809684
z_mu_b_82,1.0791150717588696
z_mu_b_65,1.069993073003559
z_mu_b_67,1.002706416370793
z_mu_b_72,0.9466292010276722
z_mu_b_85,0.9304657858704583
z_mu_b_90,0.8986210965497856
z_mu_b_84,0.8576584575839191
z_mu_b_40,0.7922956878611297
z_mu_b_21,0.7327204907159611
z_mu_b_51,0.7280622298487576
z_mu_b_80,0.6962371382435818
z_mu_b_89,0.6765958499065194
z_mu_b_56,0.5207171716253379
z_mu_b_88,0.5010509925355728
z_mu_b_24,0.4848550955079406
z_mu_b_38,0.419891387701124
z_mu_b_62,0.36023506154114804
z_mu_b_34,0.3160320197802105
z_mu_b_47,0.16865926119187152
z_mu_b_78,0.13347634787675947
z_mu_b_53,0.12241927503255912
z_mu_b_57,0.11385793056925353
z_mu_b_70,0.09413462953254759
z_mu_b_23,0.08738543617166333
z_mu_b_86,0.05345167134514127
z_mu_b_42,0.03667870063936572
z_mu_b_50,0.02599032253392733
z_mu_b_94,0.023667468165707722
z_mu_b_87,-0.026729784220412726
z_mu_b_59,-0.0958486034652728
z_mu_b_26,-0.20312273765112632
z_mu_b_22,-0.2186774974962111
z_mu_b_33,-0.21891095801935184
z_mu_b_68,-0.22094528234418395
z_mu_b_97,-0.2264339737188016
z_mu_b_91,-0.23826936272884675
z_mu_b_71,-0.2598210312918187
z_mu_b_37,-0.28156707683086785
z_mu_b_44,-0.3222058075464037
z_mu_b_25,-0.357773171599999
z_mu_b_48,-0.38181930884545123
z_mu_b_46,-0.4698662417542027
z_mu_b_96,-0.4823514372722079
z_mu_b_31,-0.5444627246677637
z_mu_b_73,-0.5678728688206552
z_mu_b_77,-0.5844469698804917
z_mu_b_35,-0.6360666373981089
z_mu_b_45,-0.6735954293036402
z_mu_b_98,-0.6805633610708952
z_mu_b_49,-0.7981638602175244
z_mu_b_81,-0.863575031630174
z_mu_b_83,-0.8706443323824082
z_mu_b_95,-0.9039874887295456
z_mu_b_79,-0.9782793138271304
z_mu_b_29,-0.9910479105379131
z_mu_b_74,-1.170090382962477
z_mu_b_32,-1.2565029312584601
z_mu_b_58,-1.3826450369265344
z_mu_b_43,-1.437652544623133
z_mu_b_66,-1.748674582589417
z_mu_b_55,-1.87672864992876
z_mu_b_75,-2.1164664993565876
z_mu_b_60,-2.129276306580177
z_mu_b_69,-2.3224406179520516
z_mu_b_27,-3.460155856229815
