feature,coefficient
z_mu_b_66,1.4656070959613834
z_mu_b_47,1.0726446612940386
z_mu_b_99,1.0157750682440825
z_mu_b_80,0.9506341873483634
z_mu_b_74,0.8071247619668588
z_mu_b_95,0.7884870185601329
z_mu_b_88,0.643454563306807
z_mu_b_92,0.5148803429597472
z_mu_b_69,0.4886409659258377
z_mu_b_93,0.4813537118258987
z_mu_b_82,0.41225722138122745
z_mu_b_32,0.40899353852765585
z_mu_b_24,0.40841951342946003
z_mu_b_63,0.4056414968534038
z_mu_b_55,0.39347827509304956
z_mu_b_94,0.389775661200274
z_mu_b_37,0.3776448056041093
z_mu_b_89,0.36320989834027556
z_mu_b_62,0.3520284258137716
z_mu_b_79,0.3465129872093558
z_mu_b_41,0.346437251938135
z_mu_b_78,0.3451896190360124
z_mu_b_91,0.3354968613067199
z_mu_b_73,0.30903063334297054
z_mu_b_68,0.3016867944191656
z_mu_b_98,0.2744247208231115
z_mu_b_76,0.24624384691726686
z_mu_b_75,0.2333554333305615
z_mu_b_86,0.1993582203023556
z_mu_b_51,0.1968078266220965
z_mu_b_84,0.18864743258649908
z_mu_b_70,0.17396713575135225
z_mu_b_35,0.17134180431668553
z_mu_b_33,0.10873900431978459
z_mu_b_59,0.08614780427020888
z_mu_b_83,0.07489962079268798
z_mu_b_49,0.06761806311354548
z_mu_b_42,0.06719333365318716
z_mu_b_48,0.05124100805912368
z_mu_b_64,0.04458062298902785
z_mu_b_97,0.014268889261561135
z_mu_b_85,0.014053335926563243
z_mu_b_61,0.011964865357655834
z_mu_b_67,-0.009612570087056417
z_mu_b_96,-0.011265089186203043
z_mu_b_20,-0.020021552317964448
z_mu_b_31,-0.028691140061529268
z_mu_b_87,-0.07045402086495753
z_mu_b_36,-0.07115923902631928
z_mu_b_26,-0.07281238085098268
z_mu_b_25,-0.08619402862805046
z_mu_b_38,-0.11617766723562185
z_mu_b_40,-0.11794240530171352
z_mu_b_54,-0.12490266357491013
z_mu_b_21,-0.15674798232952802
z_mu_b_29,-0.18023898044512487
z_mu_b_65,-0.18905822294348906
z_mu_b_57,-0.24359391100820244
z_mu_b_27,-0.24974856831734127
z_mu_b_44,-0.25001956793889774
z_mu_b_60,-0.2709153792708402
z_mu_b_71,-0.27392912934481517
z_mu_b_34,-0.3230394112912425
z_mu_b_30,-0.4766539131532936
z_mu_b_46,-0.508185712828063
z_mu_b_77,-0.5262463919041
z_mu_b_56,-0.5346808880982229
z_mu_b_22,-0.5379410620289624
z_mu_b_50,-0.5535567448918869
z_mu_b_43,-0.5671128174211816
z_mu_b_53,-0.5877707936237746
z_mu_b_52,-0.6482262135391007
z_mu_b_81,-0.7312160563874177
z_mu_b_23,-0.8641731506326492
z_mu_b_72,-1.0166040950516007
z_mu_b_45,-1.0207959025174227
z_mu_b_58,-1.1487533222900619
z_mu_b_28,-1.1821627881752148
z_mu_b_39,-1.4169476471982905
z_mu_b_90,-2.1179666416657685
