feature,coefficient
z_mu_b_45,3.3543402082959304
z_mu_b_90,2.3671651452327924
z_mu_b_58,2.1855257460053727
z_mu_b_61,1.2956267648651953
z_mu_b_28,1.1036139162645209
z_mu_b_34,1.0907541196465078
z_mu_b_51,0.9694091600312835
z_mu_b_46,0.90130335900211
z_mu_b_40,0.7139911836402375
z_mu_b_54,0.6797138605828043
z_mu_b_89,0.6380802982059837
z_mu_b_99,0.6013569643425904
z_mu_b_64,0.5528331247446697
z_mu_b_70,0.549566291155319
z_mu_b_29,0.5308318618640244
z_mu_b_23,0.4237871705754205
z_mu_b_56,0.399499225034695
z_mu_b_57,0.38827530314771547
z_mu_b_27,0.3777505768160411
z_mu_b_38,0.37313558401338
z_mu_b_42,0.36470034639287036
z_mu_b_52,0.34482248813765093
z_mu_b_84,0.30171760527275243
z_mu_b_44,0.2913079123230402
z_mu_b_59,0.2841176436787514
z_mu_b_43,0.2670456011677594
z_mu_b_39,0.26015458959174687
z_mu_b_50,0.2548102791450889
z_mu_b_87,0.23885548942860294
z_mu_b_21,0.2164785176648514
z_mu_b_26,0.20430596273362142
z_mu_b_41,0.1894744202647175
z_mu_b_20,0.10688524631359554
z_mu_b_86,0.0935780562410231
z_mu_b_79,0.06955721760441014
z_mu_b_91,0.04224884965598265
z_mu_b_62,0.027684420602036592
z_mu_b_67,0.02113029261939383
z_mu_b_35,-0.01776249808927963
z_mu_b_81,-0.02457229557938383
z_mu_b_25,-0.024873534892808764
z_mu_b_36,-0.04499949216192928
z_mu_b_77,-0.07807111286601996
z_mu_b_71,-0.08868624514051505
z_mu_b_33,-0.10329384807242287
z_mu_b_37,-0.11002360046695374
z_mu_b_95,-0.13618180244771605
z_mu_b_76,-0.14899555637514117
z_mu_b_49,-0.14987615730652007
z_mu_b_96,-0.15243710417714124
z_mu_b_97,-0.15917900655506773
z_mu_b_74,-0.1751310859888074
z_mu_b_73,-0.18522397356609913
z_mu_b_48,-0.19079678545088832
z_mu_b_68,-0.201095443114206
z_mu_b_60,-0.2098908102822554
z_mu_b_94,-0.2366305004321282
z_mu_b_88,-0.2507475994231131
z_mu_b_78,-0.2668162425372703
z_mu_b_72,-0.28355722779353715
z_mu_b_63,-0.2863566432724432
z_mu_b_31,-0.31554466832706113
z_mu_b_55,-0.3461671750596777
z_mu_b_75,-0.3533064899399072
z_mu_b_24,-0.3658027678354115
z_mu_b_53,-0.38819697792226804
z_mu_b_32,-0.41170011421223746
z_mu_b_65,-0.4437052339494674
z_mu_b_83,-0.4954482737091658
z_mu_b_92,-0.5505807036166558
z_mu_b_98,-0.8102865964583118
z_mu_b_22,-0.8118871080625832
z_mu_b_93,-0.8889519256626471
z_mu_b_30,-0.93176139945245
z_mu_b_82,-1.0129276333326
z_mu_b_80,-1.038496731468042
z_mu_b_69,-1.1881242081641623
z_mu_b_66,-1.2126350786190252
z_mu_b_47,-1.5101568211215968
z_mu_b_85,-1.7520962934179947
