feature,coefficient
z_mu_b_45,1.6186425608210988
z_mu_b_59,1.430706086306099
z_mu_b_51,1.395597395824065
z_mu_b_95,1.1096517418200829
z_mu_b_58,1.0231956308098085
z_mu_b_74,0.9111272480886414
z_mu_b_99,0.86534038441101
z_mu_b_75,0.7529030769291996
z_mu_b_64,0.5728213064773487
z_mu_b_30,0.529165030596134
z_mu_b_40,0.5024639169328976
z_mu_b_79,0.4879985578376854
z_mu_b_41,0.43625342944421935
z_mu_b_68,0.4254038178883356
z_mu_b_62,0.42213075915623494
z_mu_b_54,0.4018817125104249
z_mu_b_86,0.3921374943790318
z_mu_b_38,0.38440558052639545
z_mu_b_35,0.38324961190399615
z_mu_b_63,0.3782627442253157
z_mu_b_26,0.3755932055872289
z_mu_b_70,0.373711797413164
z_mu_b_27,0.34920046236183755
z_mu_b_34,0.3352103449376544
z_mu_b_69,0.2910488704396428
z_mu_b_37,0.2361568820595574
z_mu_b_29,0.22571608844925575
z_mu_b_91,0.21988165134936685
z_mu_b_42,0.20691480635657167
z_mu_b_61,0.20682264591319863
z_mu_b_90,0.1806434097295712
z_mu_b_66,0.14377706738545937
z_mu_b_73,0.12858274745540815
z_mu_b_92,0.10590266235952443
z_mu_b_36,0.07836377626066453
z_mu_b_43,0.054804436202834206
z_mu_b_78,0.04400866522343652
z_mu_b_25,0.042903478948865904
z_mu_b_33,0.030309575707366483
z_mu_b_80,0.008731220891107503
z_mu_b_49,-0.002517092804111525
z_mu_b_24,-0.006186877509189037
z_mu_b_87,-0.049888718070747004
z_mu_b_55,-0.06904253782727991
z_mu_b_32,-0.10029687056439368
z_mu_b_83,-0.10154674493250772
z_mu_b_97,-0.14565734770873143
z_mu_b_50,-0.15150066652019178
z_mu_b_67,-0.1599330620741194
z_mu_b_88,-0.17715039403609956
z_mu_b_76,-0.20632923856974364
z_mu_b_84,-0.21209734738016253
z_mu_b_44,-0.21489478022092315
z_mu_b_98,-0.23580748289855855
z_mu_b_21,-0.2589375646013827
z_mu_b_96,-0.27468448108117044
z_mu_b_93,-0.3435018813067562
z_mu_b_94,-0.34384233985560686
z_mu_b_48,-0.3531448456012974
z_mu_b_46,-0.36674822012355257
z_mu_b_31,-0.39591357757948276
z_mu_b_82,-0.41570720006126805
z_mu_b_52,-0.4220722064541402
z_mu_b_56,-0.4251962136334209
z_mu_b_47,-0.42828805619088545
z_mu_b_72,-0.4322679082911406
z_mu_b_57,-0.43643557400294253
z_mu_b_23,-0.4670491583588333
z_mu_b_60,-0.5359628892405446
z_mu_b_85,-0.5989413997963516
z_mu_b_71,-0.6147457930985522
z_mu_b_20,-0.6344013987216971
z_mu_b_89,-0.6843153938999086
z_mu_b_77,-0.6886785987299439
z_mu_b_53,-0.792857149106046
z_mu_b_39,-0.858307257193119
z_mu_b_65,-0.8702310317547813
z_mu_b_28,-1.1576544046483652
z_mu_b_22,-1.4919453367894897
z_mu_b_81,-1.6448218489062825
