time_bin,sample_penetrance,sample_ci_low,sample_ci_high,embryo_penetrance,embryo_ci_low,embryo_ci_high,n_samples,n_embryos
45.0,0.8764044943820225,0.7920955236695154,0.9295648299166767,0.8709677419354839,0.7114759374369357,0.9486571562537085,89,31
47.0,0.6781609195402298,0.5742610907174533,0.7669927861185496,0.6774193548387096,0.5014100930808565,0.8143057343364082,87,31
49.0,0.7878787878787878,0.6973865358285883,0.8568646451020564,0.9354838709677419,0.7928136326370188,0.9821252164780854,99,31
51.0,0.8488372093023255,0.7583643480040613,0.9094787701686765,0.8928571428571429,0.7280414845132785,0.9628816331707,86,28
53.0,0.7021276595744681,0.5602232608095393,0.8134874949539516,0.7391304347826086,0.5352999516257462,0.8745138395501366,47,23
55.0,0.7058823529411765,0.5700092442431359,0.8129127357986454,0.6666666666666666,0.4670631683813174,0.8202780967270225,51,24
57.0,0.68,0.5418970269185592,0.7924178373934316,0.75,0.5664432968100104,0.8732350508070668,50,28
59.0,0.92,0.8116175308165717,0.968450485911407,0.9130434782608695,0.7320401892425634,0.9758199955157796,50,23
61.0,0.9855072463768116,0.9223687753885529,0.9974370753554117,1.0,0.8568833815495731,1.0,69,23
63.0,0.9782608695652174,0.8866470547848865,0.9961521457419497,0.9545454545454546,0.7820195416134267,0.991930572378736,46,22
65.0,0.9298245614035088,0.832998299039663,0.972373579770934,0.9583333333333334,0.7975819352134406,0.9926065438344942,57,24
67.0,0.8837209302325582,0.7552083818991787,0.9492957226019584,0.9,0.6989663547715128,0.9721335187862319,43,20
69.0,0.9259259259259259,0.8244588416140005,0.9708184722344951,0.92,0.7503389104960468,0.9777795987151524,54,25
71.0,0.8928571428571429,0.7280414845132785,0.9628816331707,0.8888888888888888,0.672002348698212,0.9689804773543876,28,18
73.0,0.9024390243902439,0.7745231869447662,0.9614029151019106,0.9444444444444444,0.7424269921812741,0.990124809021697,41,18
75.0,0.8888888888888888,0.7194219918172017,0.9614796517169016,0.9166666666666666,0.646120088858883,0.9851349055950829,27,12
77.0,0.94,0.8378290831116182,0.979385029651026,0.9523809523809523,0.7733063992587743,0.9915440121901737,50,21
79.0,0.9318181818181818,0.8177495562977846,0.9765406040926183,0.9047619047619048,0.7108586092608176,0.9734812325619255,44,21
81.0,0.8771929824561403,0.7675355156482598,0.9392193984100191,0.8076923076923077,0.6212374288068301,0.9149293885105758,57,26
83.0,0.9444444444444444,0.8185534279135275,0.9846300133358382,1.0,0.8063923194655637,1.0,36,16
85.0,0.875,0.738878801611489,0.945404997490546,0.8461538461538461,0.5776536898051745,0.9567418216419186,40,13
87.0,0.967741935483871,0.838058948352751,0.9942827784745831,1.0,0.7719046276458016,0.9999999999999999,31,13
89.0,0.5882352941176471,0.42221593878812513,0.7363403163612884,0.6428571428571429,0.38764423103907397,0.8365526824644587,34,14
91.0,0.7142857142857143,0.5494506513681738,0.836734637635653,0.6875,0.44404355834740666,0.8583535614521796,35,16
93.0,0.75,0.5789344100575552,0.8674759908149096,0.7777777777777778,0.5478541568378739,0.9099907189139831,32,18
95.0,0.6896551724137931,0.5619693557571829,0.7937790437718092,0.7894736842105263,0.5666572155618583,0.9149232336708375,58,19
97.0,0.5714285714285714,0.4327049309001736,0.699766809211184,0.6,0.3865815007622531,0.781193467627183,49,20
99.0,0.5192307692307693,0.38685682768056057,0.6489588555454449,0.55,0.34208534245034233,0.7418021417443759,52,20
101.0,0.46153846153846156,0.34590334122804217,0.5814660073352547,0.5714285714285714,0.3654655436930671,0.7553003107462404,65,21
103.0,0.65,0.49505880837257693,0.7786547112682372,0.6875,0.44404355834740666,0.8583535614521796,40,16
105.0,0.42424242424242425,0.2723559663341021,0.5919273666268755,0.4117647058823529,0.2161105679021481,0.6399455735700021,33,17
107.0,0.8333333333333334,0.6643564949358398,0.9266345762815145,0.8421052631578947,0.6243452472967093,0.9447952836146585,30,19
109.0,0.9444444444444444,0.7424269921812741,0.990124809021697,0.9,0.5958499732047615,0.9821237869049271,18,10
111.0,1.0,0.8513451253913791,1.0,1.0,0.7224672001371107,0.9999999999999999,22,10
113.0,1.0,0.8241207763533425,1.0,1.0,0.7008549515804559,1.0,18,9
115.0,1.0,0.7846891972623643,1.0,1.0,0.5655175352168251,1.0,14,5
117.0,1.0,0.7411670330319684,1.0,1.0,0.5101091635454027,1.0,11,4
119.0,1.0,0.7224672001371107,0.9999999999999999,1.0,0.5101091635454027,1.0,10,4
121.0,1.0,0.5101091635454027,1.0,1.0,0.34238022750665303,1.0,4,2
125.0,1.0,0.4385029682449546,1.0,1.0,0.34238022750665303,1.0,3,2
127.0,1.0,0.34238022750665303,1.0,1.0,0.20654931437723745,1.0,2,1
131.0,1.0,0.6096657120978346,1.0,1.0,0.34238022750665303,1.0,6,2
133.0,1.0,0.5655175352168251,1.0,1.0,0.34238022750665303,1.0,5,2
135.0,1.0,0.34238022750665303,1.0,1.0,0.20654931437723745,1.0,2,1
