embryo_id,set_type,set_rank,genotype,bin_hpf,frame_index,matched_stage_hpf,stage_abs_err_hpf,curvature,experiment_date,well,analysis_use,coverage_frac,curvature_median,role
20251112_H05_e01,heldout_wt,1,cep290_wildtype,48.0,38,47.423855142431634,0.5761448575683659,0.0002617962328427,20251112,H05,True,1.0,0.0004555414634589,control
20251112_F08_e01,heldout_wt,2,cep290_wildtype,48.0,38,47.423855142431634,0.5761448575683659,0.0006224733796836,20251112,F08,True,1.0,0.0004626061484693,control
20251112_D02_e01,heldout_wt,3,cep290_wildtype,48.0,37,46.83826042993164,1.161739570068363,0.0004183500979853,20251112,D02,True,1.0,0.0004917778575747,control
20251212_B06_e01,heldout_wt,4,cep290_wildtype,48.0,90,47.8071846890625,0.1928153109374974,0.0005373048356422,20251212,B06,True,1.0,0.0005373048356422,control
20251205_G08_e01,heldout_wt,5,cep290_wildtype,48.0,70,47.62101153120118,0.3789884687988234,0.0002677136892746,20251205,G08,True,1.0,0.0005864984783035,control
20250512_C09_e01,heldout_wt,6,cep290_wildtype,48.0,109,46.834337925585935,1.165662074414065,0.0003112144949468,20250512,C09,True,1.0,0.0005941208618416,control
20251205_G10_e01,heldout_wt,7,cep290_wildtype,48.0,70,47.62101153120118,0.3789884687988234,0.0006108574185968,20251205,G10,True,1.0,0.0006108574185968,control
20251212_C10_e01,heldout_wt,8,cep290_wildtype,48.0,90,47.8071846890625,0.1928153109374974,0.0005216318025742,20251212,C10,True,1.0,0.0006378892056321,control
20251205_G07_e01,heldout_wt,9,cep290_wildtype,48.0,70,47.62101153120118,0.3789884687988234,0.000810607146154,20251205,G07,True,1.0,0.0006389756563717,control
20251112_B11_e01,heldout_wt,10,cep290_wildtype,48.0,38,47.423855142431634,0.5761448575683659,0.0002415418916119,20251112,B11,True,1.0,0.0006574378614347,control
20251112_H12_e01,mutant,1,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.000296389332229,20251112,H12,True,1.0,0.0003937838938354,mutant
20251205_C01_e01,mutant,2,cep290_homozygous,48.0,70,47.62101153120118,0.3789884687988234,0.0002487250584222,20251205,C01,True,1.0,0.0005527251530545,mutant
20251112_C12_e01,mutant,3,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.0003552455149373,20251112,C12,True,1.0,0.0006229905561244,mutant
20251112_B09_e01,mutant,4,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.0004287725574876,20251112,B09,True,1.0,0.0006236078984355,mutant
20251205_C09_e01,mutant,5,cep290_homozygous,48.0,70,47.62101153120118,0.3789884687988234,0.0004162837043354,20251205,C09,True,1.0,0.000626775788546,mutant
20251112_G09_e01,mutant,6,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.0006018855839996,20251112,G09,True,1.0,0.0006564037949682,mutant
20251112_F11_e01,mutant,7,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.000241110979504,20251112,F11,True,1.0,0.0006666519352279,mutant
20251205_F01_e01,mutant,8,cep290_homozygous,48.0,70,47.62101153120118,0.3789884687988234,0.0007570327169619,20251205,F01,True,1.0,0.0006890098906187,mutant
20251112_H08_e01,mutant,9,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.0005685475948256,20251112,H08,True,1.0,0.0006893112180997,mutant
20251205_A04_e01,mutant,10,cep290_homozygous,48.0,70,47.62101153120118,0.3789884687988234,0.0003031904413821,20251205,A04,True,1.0,0.0007135343733981,mutant
20251112_A10_e01,mutant,11,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.0006918052723928,20251112,A10,True,1.0,0.0007219647999382,mutant
20251205_G02_e01,mutant,12,cep290_homozygous,48.0,70,47.62101153120118,0.3789884687988234,0.0005235718063491,20251205,G02,True,1.0,0.0007470650827863,mutant
20251212_A08_e01,mutant,13,cep290_homozygous,48.0,90,47.8071846890625,0.1928153109374974,0.0003552996368064,20251212,A08,True,1.0,0.000752152987088,mutant
20251212_F08_e01,mutant,14,cep290_homozygous,48.0,88,47.07962224255371,0.920377757446289,0.0005112441680207,20251212,F08,True,1.0,0.0007695604539268,mutant
20251205_C10_e01,mutant,15,cep290_homozygous,48.0,70,47.62101153120118,0.3789884687988234,0.0004381909774329,20251205,C10,True,1.0,0.0007744660062835,mutant
20251212_F11_e01,mutant,16,cep290_homozygous,48.0,90,47.8071846890625,0.1928153109374974,0.0006295471406157,20251212,F11,True,1.0,0.0008001357159498,mutant
20250512_D08_e01,mutant,17,cep290_homozygous,48.0,112,47.78980057587891,0.2101994241210931,0.0007771632013715,20250512,D08,True,1.0,0.0008068117363767,mutant
20251205_A03_e01,mutant,18,cep290_homozygous,48.0,70,47.62101153120118,0.3789884687988234,0.0007506131312978,20251205,A03,True,1.0,0.0008205672080707,mutant
20251112_D08_e01,mutant,19,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.000684602146293,20251112,D08,True,1.0,0.000821268556339,mutant
20251212_E10_e01,mutant,20,cep290_homozygous,48.0,90,47.8071846890625,0.1928153109374974,0.0010866033861847,20251212,E10,True,1.0,0.0008214273927925,mutant
20251212_H07_e01,reference_wt,1,cep290_wildtype,48.0,90,47.8071846890625,0.1928153109374974,0.0002653312346564,20251212,H07,True,1.0,0.0004536426985428,reference
