experiment,source_excel,copied_excel,copied_on,status
20260319_cilia_crispant_18hpf,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260319_cilia_crispant_18hpf_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260319_cilia_crispant_18hpf_well_metadata.xlsx,2026-06-09,copied
20260319_cilia_crispant_24hpf,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260319_cilia_crispant_24hpf_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260319_cilia_crispant_24hpf_well_metadata.xlsx,2026-06-09,copied
20260319_cilia_crispant_30hpf,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260319_cilia_crispant_30hpf_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260319_cilia_crispant_30hpf_well_metadata.xlsx,2026-06-09,copied
20260320_cilia_crispant_48hpf,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260320_cilia_crispant_48hpf_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260320_cilia_crispant_48hpf_well_metadata.xlsx,2026-06-09,copied
20260324_cep290_18hpf_24hpf_plate02,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260324_cep290_18hpf_24hpf_plate02_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260324_cep290_18hpf_24hpf_plate02_well_metadata.xlsx,2026-06-09,copied
20260324_cep290_18hpf_plate01,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260324_cep290_18hpf_plate01_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260324_cep290_18hpf_plate01_well_metadata.xlsx,2026-06-09,copied
20260324_cep290_24hpf_plate01,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260324_cep290_24hpf_plate01_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260324_cep290_24hpf_plate01_well_metadata.xlsx,2026-06-09,copied
20260324_cep290_24hpf_plate02,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260324_cep290_24hpf_plate02_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260324_cep290_24hpf_plate02_well_metadata.xlsx,2026-06-09,copied
20260324_cep290_30hpf_plate01,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260324_cep290_30hpf_plate01_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260324_cep290_30hpf_plate01_well_metadata.xlsx,2026-06-09,copied
20260324_cep290_30hpf_plate02,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260324_cep290_30hpf_plate02_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260324_cep290_30hpf_plate02_well_metadata.xlsx,2026-06-09,copied
20260331_b9d2_18hpf_plate01,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260331_b9d2_18hpf_plate01_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260331_b9d2_18hpf_plate01_well_metadata.xlsx,2026-06-09,copied
20260331_b9d2_18hpf_plate02,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260331_b9d2_18hpf_plate02_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260331_b9d2_18hpf_plate02_well_metadata.xlsx,2026-06-09,copied
20260414_b9d2_14hpf_plate01,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260414_b9d2_14hpf_plate01_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260414_b9d2_14hpf_plate01_well_metadata.xlsx,2026-06-09,copied
20260414_b9d2_14hpf_plate02,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260414_b9d2_14hpf_plate02.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260414_b9d2_14hpf_plate02.xlsx,2026-06-09,copied
20260414_b9d2_30hpf_plate01,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260414_b9d2_30hpf_plate01_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260414_b9d2_30hpf_plate01_well_metadata.xlsx,2026-06-09,copied
20260414_b9d2_30hpf_plate02,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260414_b9d2_30hpf_plate02_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260414_b9d2_30hpf_plate02_well_metadata.xlsx,2026-06-09,copied
20260415_b9d2_30to48hpf_plate01_t02,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260415_b9d2_30to48hpf_plate01_t02_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260415_b9d2_30to48hpf_plate01_t02_well_metadata.xlsx,2026-06-09,copied
20260415_b9d2_30to48hpf_plate02_t02,/net/trapnell/vol1/home/mdcolon/proj/morphseq/metadata/plate_metadata/20260415_b9d2_30to48hpf_plate02_t02_well_metadata.xlsx,/net/trapnell/vol1/home/mdcolon/proj/morphseq/results/mcolon/20260607_sci_cilia_gene14_imaging_qc/source_plate_metadata_excels/20260415_b9d2_30to48hpf_plate02_t02_well_metadata.xlsx,2026-06-09,copied
