experiment,gene,is_sci_timelapse,build06_path,build06_exists
20260319_cilia_crispant_18hpf,crispant,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260319_cilia_crispant_18hpf.csv,True
20260319_cilia_crispant_24hpf,crispant,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260319_cilia_crispant_24hpf.csv,True
20260319_cilia_crispant_30hpf,crispant,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260319_cilia_crispant_30hpf.csv,True
20260320_cilia_crispant_48hpf,crispant,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260320_cilia_crispant_48hpf.csv,True
20260324_cep290_18hpf_24hpf_plate02,cep290,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260324_cep290_18hpf_24hpf_plate02.csv,True
20260324_cep290_18hpf_plate01,cep290,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260324_cep290_18hpf_plate01.csv,True
20260324_cep290_24hpf_plate01,cep290,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260324_cep290_24hpf_plate01.csv,True
20260324_cep290_24hpf_plate02,cep290,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260324_cep290_24hpf_plate02.csv,True
20260324_cep290_30hpf_plate01,cep290,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260324_cep290_30hpf_plate01.csv,True
20260324_cep290_30hpf_plate02,cep290,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260324_cep290_30hpf_plate02.csv,True
20260331_b9d2_18hpf_plate01,b9d2,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260331_b9d2_18hpf_plate01.csv,True
20260331_b9d2_18hpf_plate02,b9d2,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260331_b9d2_18hpf_plate02.csv,True
20260414_b9d2_14hpf_plate01,b9d2,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260414_b9d2_14hpf_plate01.csv,True
20260414_b9d2_14hpf_plate02,b9d2,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260414_b9d2_14hpf_plate02.csv,False
20260414_b9d2_30hpf_plate01,b9d2,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260414_b9d2_30hpf_plate01.csv,True
20260414_b9d2_30hpf_plate02,b9d2,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260414_b9d2_30hpf_plate02.csv,True
20260415_b9d2_30to48hpf_plate01_t02,b9d2,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260415_b9d2_30to48hpf_plate01_t02.csv,True
20260415_b9d2_30to48hpf_plate02_t02,b9d2,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260415_b9d2_30to48hpf_plate02_t02.csv,True
20260415_cep290_18hpf_plate03,cep290,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260415_cep290_18hpf_plate03.csv,True
20260416_cep290_30to48hpf_plate01_t02,cep290,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260416_cep290_30to48hpf_plate01_t02.csv,True
20260415_cep290_30to48hpf_plate02_t01,cep290,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260415_cep290_30to48hpf_plate02_t01.csv,True
20260416_cep290_30to48hpf_plate02_t02,cep290,False,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260416_cep290_30to48hpf_plate02_t02.csv,True
20260414_sci_b9d2_48hpf_plate01,b9d2,True,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260414_sci_b9d2_48hpf_plate01.csv,True
20260415_sci_cep290_48hpf_plate01,cep290,True,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/metadata/build06_output/df03_final_output_with_latents_20260415_sci_cep290_48hpf_plate01.csv,True
