exp,well,disposition,note
20260324_cep290_18hpf_24hpf_plate02,G08,truncated_acq,Template well (no genotype); Keyence stopped before G/H rows (G06).
20260324_cep290_18hpf_24hpf_plate02,G11,truncated_acq,Keyence stopped at G06 - never imaged.
20260324_cep290_18hpf_24hpf_plate02,H01,truncated_acq,Keyence stopped at G06 - never imaged.
20260324_cep290_18hpf_24hpf_plate02,H05,truncated_acq,Keyence stopped at G06 - never imaged.
20260324_cep290_18hpf_24hpf_plate02,H06,truncated_acq,Keyence stopped at G06 - never imaged.
20260324_cep290_18hpf_24hpf_plate02,H08,truncated_acq,Template well (no genotype); Keyence stopped before G/H rows.
20260324_cep290_18hpf_plate01,G09,truncated_acq,Keyence stopped at G06 (78 XY dirs) - never imaged.
20260324_cep290_18hpf_plate01,H02,truncated_acq,Keyence stopped at G06 - never imaged.
20260324_cep290_18hpf_plate01,H06,truncated_acq,Keyence stopped at G06 - never imaged.
20260324_cep290_18hpf_plate01,H09,truncated_acq,Keyence stopped at G06 - never imaged.
20260324_cep290_30hpf_plate01,A09,gdino_fn,Image exported; GDino found 0 embryos. Needs image review (empty vs false negative).
20260324_cep290_30hpf_plate01,G07,clipped_lost,QC_EXCLUDED (frame_flag+sam2_qc_flag); tail clipped; confirmed unrecoverable by mdcolon.
20260331_b9d2_18hpf_plate01,A06,gdino_fn,Re-acquired well (6-tile stitch); GDino found 0 embryos on double-width image. Needs review.
20260414_b9d2_14hpf_plate01,H06,gdino_fn,Image exists; GDino found 0 embryos. mdcolon: clearly an embryo. GDino false negative.
20260414_b9d2_30hpf_plate01,F02,clipped_lost,QC_EXCLUDED (frame_flag+sam2_qc_flag); tail clipped; confirmed unrecoverable by mdcolon.
20260414_b9d2_30hpf_plate02,A07,clipped_lost,QC_EXCLUDED (frame_flag+sam2_qc_flag); clipped; confirmed unrecoverable by mdcolon.
20260415_b9d2_30to48hpf_plate01_t02,F11,gdino_fn,Image exists; GDino found 0 embryos. mdcolon: clearly there. GDino false negative.
20260415_b9d2_30to48hpf_plate01_t02,B06,clipped_lost,QC_EXCLUDED (frame_flag); confirmed clipped by mdcolon.
20260415_b9d2_30to48hpf_plate01_t02,E07,clipped_lost,QC_EXCLUDED (frame_flag+sam2_qc_flag); confirmed clipped by mdcolon.
20260415_cep290_18hpf_plate03,C05,empty_well,Image exported; GDino found 0 embryos. mdcolon confirmed no embryo visible.
20260415_cep290_18hpf_plate03,F04,empty_well,Image exported; GDino found 0 embryos. mdcolon confirmed no embryo visible.
20260415_cep290_30to48hpf_plate02_t01,A02,clipped_lost,QC_EXCLUDED (frame_flag+sam2_qc_flag); confirmed unrecoverable (clipped). Accepted as lost.
20260416_cep290_30to48hpf_plate01_t02,E12,clipped_lost,QC_EXCLUDED (frame_flag+sam2_qc_flag); slightly clipped; confirmed unrecoverable by mdcolon.
20260320_cilia_crispant_48hpf,H01,gdino_fn,Out of focus - no detection. Image exists; GDino found 0 embryos (no build03 row). mdcolon manually confirmed row H is out of focus.
20260320_cilia_crispant_48hpf,H02,gdino_fn,Out of focus - no detection. Image exists; GDino found 0 embryos (no build03 row). mdcolon manually confirmed row H is out of focus.
20260320_cilia_crispant_48hpf,H03,gdino_fn,Out of focus - no detection. Image exists; GDino found 0 embryos (no build03 row). mdcolon manually confirmed row H is out of focus.
20260320_cilia_crispant_48hpf,H05,gdino_fn,Out of focus - no detection. Image exists; GDino found 0 embryos (no build03 row). mdcolon manually confirmed row H is out of focus.
20260320_cilia_crispant_48hpf,H07,gdino_fn,Out of focus - no detection. Image exists; GDino found 0 embryos (no build03 row). mdcolon manually confirmed row H is out of focus.
