pdf,page,issue_type,severity,details,bbox_points_x0_y0_x1_y1,bbox_inches_x0_y0_x1_y1,link_or_target,visible_text_in_link_rect
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/01 Cover Letter.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,59.01,578.87,197.79","0.500,0.820,8.040,2.747",,"Division of Receipt and Referral Center for Scientific Review National Institutes of Health 6701 Rockledge Drive MSC 7768 Bethesda, MD 20892-7768 Dear NIH Center for Scientific Review Staff, I am submitting a grant proposal entitled “Predicting How Molecular Variation Drives Morphological Outcomes …"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/01 Cover Letter.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,203.15,578.75,240.73","0.500,2.821,8.038,3.344",,"I have discussed K99/R00 eligibility with NICHD program staff. NICHD confirmed my eligibility for the June/July 2026 receipt cycle and granted a waiver of eligibility through the February/March 2027 due dates, if resubmission is necessary."
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/01 Cover Letter.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,246.09,579.21,321.62","0.500,3.418,8.045,4.467",,"The research in this proposal involves developing and applying a new method that combines single-cell transcriptomics with high-throughput live imaging to investigate how transcriptional changes in single cells drive organism-level phenotypes in vertebrate development. This quantitative, integrated…"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/01 Cover Letter.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,326.98,579.14,351.92","0.500,4.541,8.044,4.888",,"The proposed research involves vertebrate embryogenesis, phenotypic variability, deep learning, live imaging, and single-cell transcriptomics."
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/03 Budget Justification.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,108.05,579.28,297.43","0.500,1.501,8.045,4.131",,"Nicholas Lammers, PhD, Principal Investigator (100%, 12.00 calendar months): Dr. Lammers holds a PhD in Biophysics from the University of California, Berkeley and is currently a postdoctoral fellow in the Trapnell lab at the University of Washington. During the mentored phase of the award Dr. Lamme…"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/03 Budget Justification.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,302.79,579.30,378.32","0.500,4.205,8.046,5.254",,"Research supplies: $5,000 per year is requested for zebrafish embryo culture and imaging consumables, CRISPR perturbation reagents, guide RNA synthesis, PCR primers and genotyping supplies, 96-well plates, agarose/tricaine/media, molecular biology reagents, and data storage/computing expenses assoc…"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/03 Budget Justification.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,383.68,579.29,484.51","0.500,5.329,8.046,6.729",,"●​ $500 is requested in year 2 of the K99 award phase for attendance of the online University of Alabama Zebrafish Husbandry course. ●​ $7,800 is requested in year 2 of the K99 award phase to cover attendance of the Embryology course taught at the Marine Biological Laboratory. ●​ $595 is requested …"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/03 Budget Justification.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,489.87,578.93,603.35","0.500,6.804,8.041,8.380",,"Scientific conferences: $2,800 per year is requested for Dr. Lammers to attend one domestic national conference each year of the K99 award phase in order to discuss and present project study results. The costs per individual trip have been calculated as round-trip airfare ($800), lodging ($300 per …"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/04 Project Narrative.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,56.31,579.32,119.19","0.500,0.782,8.046,1.655",,"In human disease, the same genetic mutation can lead to different health outcomes across individuals, but we often do not understand the cellular and molecular processes that cause these differences. My project aims to develop and apply a new experimental and computational method that can measure h…"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/05 Project Summary.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,56.31,578.88,131.84","0.500,0.782,8.040,1.831",,"Single-cell transcriptomics has transformed the use of reverse genetics to study the molecular basis of development and disease, making it possible to profile molecular states across tissues and even whole embryos at scale. Yet we lack methods to measure how changes in transcriptional state drive t…"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/05 Project Summary.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,132.20,579.28,308.92","0.500,1.836,8.046,4.291",,"I propose to extend MorphSeq, a multimodal platform that uses deep learning to integrate high-throughput live imaging and single-cell transcriptomics, to investigate the transcriptional basis of phenotypic variability in zebrafish embryos with mutations in disease-associated genes. My central hypot…"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/05 Project Summary.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,309.28,579.27,435.41","0.500,4.296,8.045,6.047",,My long-term goal is to lead a research group that uses quantitative multimodal measurements and predictive modeling to uncover molecular design principles that underpin the making and breaking of robustness in development and disease. Aims 1 and 2 of my proposal also provide critical training oppo…
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/07 Equipment.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,56.31,579.17,131.84","0.500,0.782,8.044,1.831",,"Laboratory: Scientists in the Trapnell lab have high-priority access to an Illumina NextSeq 2000 that we jointly own with the labs of Dr. Evan Eichler and Dr. Jay Shendure. Furthermore, an additional 10 Illumina sequencers, 1 Element Biosciences sequencer, 1 Pacific Biosciences Revio sequencer, and…"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/07 Equipment.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,137.20,578.74,187.44","0.500,1.906,8.038,2.603",,"Other major equipment in the NWGC or Trapnell Lab includes a 10X Chromium single-cell capture system, support instrumentation for the Illumina sequencers (cluster stations, a 96-plex Covaris acoustic shearing device, a high-sensitivity Agilent Bioanalyzer), automated robots, thermocyclers, agarose …"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/07 Equipment.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,192.80,579.28,255.68","0.500,2.678,8.046,3.551",,"The Department of Genome Sciences provides shared equipment such as Millipore units, deionized/reverse osmosis water, distillation, gel imagers, Xomat developers, scintillation counters, centrifuges and ultracentrifuges. Genome Sciences laboratories share access to facilities operated by other Scho…"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/07 Equipment.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,266.04,579.23,316.28","0.500,3.695,8.045,4.393",,"Computer: I have been provided with a 2022 Mac Studio running macOS 26.3.1 on an Apple M1 Ultra Processor, 128 GB LPDDR5 unified RAM, 20 CPU cores, 48 GPU cores, and 500 GB SSD storage. The Trapnell lab equips each lab member with an Apple desktop computer that has an appropriate package of softwar…"
