pair_id,embryo_id,set_type,set_rank,genotype,bin_src_hpf,bin_tgt_hpf,frame_src,frame_tgt,stage_src_hpf,stage_tgt_hpf,analysis_use,is_control_pair,src_embryo_id,tgt_embryo_id
20251112_D02_e01__24to26,20251112_D02_e01,heldout_wt,1,cep290_wildtype,24.0,26.0,0,2,25.0,26.214503708520507,True,False,,
20251112_D02_e01__26to28,20251112_D02_e01,heldout_wt,1,cep290_wildtype,26.0,28.0,2,5,26.214503708520507,27.971825818896484,True,False,,
20251112_D02_e01__28to30,20251112_D02_e01,heldout_wt,1,cep290_wildtype,28.0,30.0,5,8,27.971825818896484,29.728670437890624,True,False,,
20251112_D02_e01__30to32,20251112_D02_e01,heldout_wt,1,cep290_wildtype,30.0,32.0,8,12,29.728670437890624,32.16372909223633,True,False,,
20251112_D02_e01__32to34,20251112_D02_e01,heldout_wt,1,cep290_wildtype,32.0,34.0,12,15,32.16372909223633,33.923683731762694,True,False,,
20251112_D02_e01__34to36,20251112_D02_e01,heldout_wt,1,cep290_wildtype,34.0,36.0,15,19,33.923683731762694,36.27026952468262,True,False,,
20251112_D02_e01__36to38,20251112_D02_e01,heldout_wt,1,cep290_wildtype,36.0,38.0,19,22,36.27026952468262,38.03134323283692,True,False,,
20251112_D02_e01__38to40,20251112_D02_e01,heldout_wt,1,cep290_wildtype,38.0,40.0,22,27,38.03134323283692,40.973004728564455,True,False,,
20251112_D02_e01__40to42,20251112_D02_e01,heldout_wt,1,cep290_wildtype,40.0,42.0,27,29,40.973004728564455,42.147866540869146,True,False,,
20251112_D02_e01__42to44,20251112_D02_e01,heldout_wt,1,cep290_wildtype,42.0,44.0,29,32,42.147866540869146,43.906451166162114,True,False,,
20251112_D02_e01__44to46,20251112_D02_e01,heldout_wt,1,cep290_wildtype,44.0,46.0,32,37,43.906451166162114,46.83826042993164,True,False,,
20251112_D02_e01__46to48,20251112_D02_e01,heldout_wt,1,cep290_wildtype,46.0,48.0,37,37,46.83826042993164,46.83826042993164,True,False,,
20251212_B06_e01__24to26,20251212_B06_e01,heldout_wt,2,cep290_wildtype,24.0,26.0,25,30,24.127278696313475,25.95078325649414,True,False,,
20251212_B06_e01__26to28,20251212_B06_e01,heldout_wt,2,cep290_wildtype,26.0,28.0,30,36,25.95078325649414,28.134269300390624,True,False,,
20251212_B06_e01__28to30,20251212_B06_e01,heldout_wt,2,cep290_wildtype,28.0,30.0,36,41,28.134269300390624,29.953735149609376,True,False,,
20251212_B06_e01__30to32,20251212_B06_e01,heldout_wt,2,cep290_wildtype,30.0,32.0,41,47,29.953735149609376,32.14331341047364,True,False,,
20251212_B06_e01__32to34,20251212_B06_e01,heldout_wt,2,cep290_wildtype,32.0,34.0,47,52,32.14331341047364,33.964013784008785,True,False,,
20251212_B06_e01__34to36,20251212_B06_e01,heldout_wt,2,cep290_wildtype,34.0,36.0,52,57,33.964013784008785,35.787119207666024,True,False,,
20251212_B06_e01__36to38,20251212_B06_e01,heldout_wt,2,cep290_wildtype,36.0,38.0,57,63,35.787119207666024,37.97240135339355,True,False,,
20251212_B06_e01__38to40,20251212_B06_e01,heldout_wt,2,cep290_wildtype,38.0,40.0,63,69,37.97240135339355,40.16041586550293,True,False,,
20251212_B06_e01__40to42,20251212_B06_e01,heldout_wt,2,cep290_wildtype,40.0,42.0,69,74,40.16041586550293,41.984711589550784,True,False,,
