time_bin,time_bin_start,time_bin_end,time_bin_center,bin_width,auroc_observed,auroc_null_mean,auroc_null_std,pval,n_samples,n_positive,n_negative,positive_class,negative_class
24,24.0,26.0,25.0,2.0,0.7166666666666667,0.4894166666666667,0.20132669346115034,0.15920398009950248,23,20,3,mutant,heldout_wt
26,26.0,28.0,27.0,2.0,0.4833333333333334,0.5149583333333334,0.21012776784481493,0.5373134328358209,23,20,3,mutant,heldout_wt
28,28.0,30.0,29.0,2.0,0.7166666666666667,0.5079166666666667,0.20483521493575704,0.19402985074626866,23,20,3,mutant,heldout_wt
30,30.0,32.0,31.0,2.0,0.19166666666666665,0.4942916666666667,0.19913803402972077,0.9502487562189055,23,20,3,mutant,heldout_wt
32,32.0,34.0,33.0,2.0,0.9166666666666666,0.49679166666666674,0.21021925970942287,0.03482587064676617,23,20,3,mutant,heldout_wt
34,34.0,36.0,35.0,2.0,0.175,0.511375,0.20472911896644744,0.9751243781094527,23,20,3,mutant,heldout_wt
36,36.0,38.0,37.0,2.0,0.6333333333333333,0.5430833333333334,0.21048738085690552,0.3582089552238806,23,20,3,mutant,heldout_wt
38,38.0,40.0,39.0,2.0,0.9500000000000001,0.5022083333333334,0.23383944738383594,0.03980099502487562,23,20,3,mutant,heldout_wt
40,40.0,42.0,41.0,2.0,0.3,0.5195833333333334,0.21100906707743364,0.8159203980099502,23,20,3,mutant,heldout_wt
42,42.0,44.0,43.0,2.0,0.6166666666666666,0.44195833333333323,0.21264435864581244,0.20398009950248755,23,20,3,mutant,heldout_wt
44,44.0,46.0,45.0,2.0,0.3666666666666667,0.4725,0.19958811754878264,0.7014925373134329,23,20,3,mutant,heldout_wt
46,46.0,48.0,47.0,2.0,0.38333333333333336,0.45683333333333337,0.19133079266605837,0.6517412935323383,23,20,3,mutant,heldout_wt
