run_id,pair_id,embryo_id,set_type,set_rank,genotype,bin_src_hpf,bin_tgt_hpf,bin_mid_hpf,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
phase2_24_48_ott_v1,20251112_D02_e01__24to26,20251112_D02_e01,heldout_wt,1,cep290_wildtype,24.0,26.0,25.0,-1395.4075,-280.20932,71.72631,2.2504761,-52.397434,32.16135,46.61106,1.2346951,-50.71756,35.39579
phase2_24_48_ott_v1,20251112_D02_e01__26to28,20251112_D02_e01,heldout_wt,1,cep290_wildtype,26.0,28.0,27.0,-1291.4177,-495.75436,103.83538,12.471523,-27.951525,29.934027,77.46358,24.129309,-61.385796,8.012901
phase2_24_48_ott_v1,20251112_D02_e01__28to30,20251112_D02_e01,heldout_wt,1,cep290_wildtype,28.0,30.0,29.0,-903.2936,-560.84686,94.03079,18.54346,3.0141478,39.713333,45.241776,20.521133,-38.708363,-20.637022
phase2_24_48_ott_v1,20251112_D02_e01__30to32,20251112_D02_e01,heldout_wt,1,cep290_wildtype,30.0,32.0,31.0,-12000.723,1017.84607,671.8671,1128.9354,-388.43716,405.33524,1089.3906,-175.67075,-344.87143,1103.042
phase2_24_48_ott_v1,20251112_D02_e01__32to34,20251112_D02_e01,heldout_wt,1,cep290_wildtype,32.0,34.0,33.0,8915.767,-2112.3914,207.9414,937.68005,-155.99095,263.33954,-511.95764,147.93759,303.8377,486.5692
phase2_24_48_ott_v1,20251112_D02_e01__34to36,20251112_D02_e01,heldout_wt,1,cep290_wildtype,34.0,36.0,35.0,630.8232,-1245.2545,182.71408,-47.340427,14.000207,-62.708668,-16.860983,94.03068,-22.746124,-7.1314254
phase2_24_48_ott_v1,20251112_D02_e01__36to38,20251112_D02_e01,heldout_wt,1,cep290_wildtype,36.0,38.0,37.0,-2992.5142,-474.88626,221.1608,9.017706,-81.49515,15.510834,54.486,-14.3192425,-94.27202,100.38688
phase2_24_48_ott_v1,20251112_D02_e01__38to40,20251112_D02_e01,heldout_wt,1,cep290_wildtype,38.0,40.0,39.0,57.455807,-780.1271,55.87992,-15.180789,28.121866,-4.4978094,-53.17091,62.95581,-1.3151389,18.36984
phase2_24_48_ott_v1,20251112_D02_e01__40to42,20251112_D02_e01,heldout_wt,1,cep290_wildtype,40.0,42.0,41.0,-1713.9823,-726.2691,223.5801,65.48458,13.399333,57.140427,50.77276,108.29386,-140.68,-11.852167
phase2_24_48_ott_v1,20251112_D02_e01__42to44,20251112_D02_e01,heldout_wt,1,cep290_wildtype,42.0,44.0,43.0,-1718.5398,-722.26807,158.05307,-11.720418,-68.69297,-0.19640455,41.758015,13.723507,24.678299,34.69437
phase2_24_48_ott_v1,20251112_D02_e01__44to46,20251112_D02_e01,heldout_wt,1,cep290_wildtype,44.0,46.0,45.0,1.9235163,-856.4628,76.53293,13.034996,67.8249,30.10391,-29.649502,76.43363,-83.015656,-85.33703
phase2_24_48_ott_v1,20251112_D02_e01__46to48,20251112_D02_e01,heldout_wt,1,cep290_wildtype,46.0,48.0,47.0,-151.99644,-646.1114,75.04158,-39.580364,24.217342,-7.817882,16.283312,47.79652,-12.227706,-56.69552
phase2_24_48_ott_v1,20251212_B06_e01__24to26,20251212_B06_e01,heldout_wt,2,cep290_wildtype,24.0,26.0,25.0,-2287.1196,-50.669052,129.31126,-9.395338,-55.370747,61.295807,107.98126,25.65527,-56.704517,3.8266497
phase2_24_48_ott_v1,20251212_B06_e01__26to28,20251212_B06_e01,heldout_wt,2,cep290_wildtype,26.0,28.0,27.0,271.06326,-1533.209,199.83525,12.051707,-25.386404,-7.36118,9.868612,52.695,-57.829567,79.250725
phase2_24_48_ott_v1,20251212_B06_e01__28to30,20251212_B06_e01,heldout_wt,2,cep290_wildtype,28.0,30.0,29.0,1089.3593,-698.2546,-44.43208,-155.75294,-20.937603,-66.659904,-36.810143,53.79537,66.49177,-99.56894
phase2_24_48_ott_v1,20251212_B06_e01__30to32,20251212_B06_e01,heldout_wt,2,cep290_wildtype,30.0,32.0,31.0,-840.5098,-1121.7648,181.68657,-9.156571,11.005277,12.633117,27.220892,106.22184,-99.6813,40.12014
phase2_24_48_ott_v1,20251212_B06_e01__32to34,20251212_B06_e01,heldout_wt,2,cep290_wildtype,32.0,34.0,33.0,-1165.1598,-1242.4285,308.58997,9.493257,-2.0842993,55.625027,63.772736,105.878044,-42.363125,54.721954
phase2_24_48_ott_v1,20251212_B06_e01__34to36,20251212_B06_e01,heldout_wt,2,cep290_wildtype,34.0,36.0,35.0,-1336.4779,-730.0513,128.52199,-64.22136,2.3219085,56.976646,-20.148664,90.4752,-55.168175,-31.780027
phase2_24_48_ott_v1,20251212_B06_e01__36to38,20251212_B06_e01,heldout_wt,2,cep290_wildtype,36.0,38.0,37.0,1455.9226,-499.91537,-84.928215,-70.6266,70.25841,-4.41299,-53.06995,20.036419,16.579004,-142.52559
phase2_24_48_ott_v1,20251212_B06_e01__38to40,20251212_B06_e01,heldout_wt,2,cep290_wildtype,38.0,40.0,39.0,-2843.7637,-783.19855,361.5234,163.9217,-69.27363,18.380766,-102.27013,27.954687,-42.017735,143.50534
