bin_src_hpf,bin_tgt_hpf,n_embryos,support_pixels,reference_npz,pair_ids
24.0,26.0,3,7348,/net/trapnell/vol1/home/mdcolon/proj/morphseq/src/analyze/optimal_transport_morphometrics/docs/phase2_implemnetation_tracking/stream_d_reference_embryo/reference_fields/ref_24_to_26.npz,20251212_H07_e01__24to26;20251112_H05_e01__24to26;20251112_F08_e01__24to26
26.0,28.0,3,8255,/net/trapnell/vol1/home/mdcolon/proj/morphseq/src/analyze/optimal_transport_morphometrics/docs/phase2_implemnetation_tracking/stream_d_reference_embryo/reference_fields/ref_26_to_28.npz,20251212_H07_e01__26to28;20251112_H05_e01__26to28;20251112_F08_e01__26to28
28.0,30.0,3,7841,/net/trapnell/vol1/home/mdcolon/proj/morphseq/src/analyze/optimal_transport_morphometrics/docs/phase2_implemnetation_tracking/stream_d_reference_embryo/reference_fields/ref_28_to_30.npz,20251212_H07_e01__28to30;20251112_H05_e01__28to30;20251112_F08_e01__28to30
30.0,32.0,3,8325,/net/trapnell/vol1/home/mdcolon/proj/morphseq/src/analyze/optimal_transport_morphometrics/docs/phase2_implemnetation_tracking/stream_d_reference_embryo/reference_fields/ref_30_to_32.npz,20251212_H07_e01__30to32;20251112_H05_e01__30to32;20251112_F08_e01__30to32
32.0,34.0,3,8744,/net/trapnell/vol1/home/mdcolon/proj/morphseq/src/analyze/optimal_transport_morphometrics/docs/phase2_implemnetation_tracking/stream_d_reference_embryo/reference_fields/ref_32_to_34.npz,20251212_H07_e01__32to34;20251112_H05_e01__32to34;20251112_F08_e01__32to34
34.0,36.0,3,9288,/net/trapnell/vol1/home/mdcolon/proj/morphseq/src/analyze/optimal_transport_morphometrics/docs/phase2_implemnetation_tracking/stream_d_reference_embryo/reference_fields/ref_34_to_36.npz,20251212_H07_e01__34to36;20251112_H05_e01__34to36;20251112_F08_e01__34to36
36.0,38.0,3,9627,/net/trapnell/vol1/home/mdcolon/proj/morphseq/src/analyze/optimal_transport_morphometrics/docs/phase2_implemnetation_tracking/stream_d_reference_embryo/reference_fields/ref_36_to_38.npz,20251212_H07_e01__36to38;20251112_H05_e01__36to38;20251112_F08_e01__36to38
38.0,40.0,3,9563,/net/trapnell/vol1/home/mdcolon/proj/morphseq/src/analyze/optimal_transport_morphometrics/docs/phase2_implemnetation_tracking/stream_d_reference_embryo/reference_fields/ref_38_to_40.npz,20251212_H07_e01__38to40;20251112_H05_e01__38to40;20251112_F08_e01__38to40
40.0,42.0,3,10089,/net/trapnell/vol1/home/mdcolon/proj/morphseq/src/analyze/optimal_transport_morphometrics/docs/phase2_implemnetation_tracking/stream_d_reference_embryo/reference_fields/ref_40_to_42.npz,20251212_H07_e01__40to42;20251112_H05_e01__40to42;20251112_F08_e01__40to42
42.0,44.0,3,9103,/net/trapnell/vol1/home/mdcolon/proj/morphseq/src/analyze/optimal_transport_morphometrics/docs/phase2_implemnetation_tracking/stream_d_reference_embryo/reference_fields/ref_42_to_44.npz,20251212_H07_e01__42to44;20251112_H05_e01__42to44;20251112_F08_e01__42to44
44.0,46.0,3,8984,/net/trapnell/vol1/home/mdcolon/proj/morphseq/src/analyze/optimal_transport_morphometrics/docs/phase2_implemnetation_tracking/stream_d_reference_embryo/reference_fields/ref_44_to_46.npz,20251212_H07_e01__44to46;20251112_H05_e01__44to46;20251112_F08_e01__44to46
46.0,48.0,3,9675,/net/trapnell/vol1/home/mdcolon/proj/morphseq/src/analyze/optimal_transport_morphometrics/docs/phase2_implemnetation_tracking/stream_d_reference_embryo/reference_fields/ref_46_to_48.npz,20251212_H07_e01__46to48;20251112_H05_e01__46to48;20251112_F08_e01__46to48
