Zebrafish Gene ID,Zebrafish Gene Symbol,Human Ortholog Entrez Gene Id,Human Ortholog Symbol,tf_ensembl_id,tf_gene_short_name,tf_family,tf_entrez_id,zf_symbol_key,n_passing_cell_types,max_avg_expr,max_frac_expr,n_observed_cell_types
ZDB-GENE-060503-246,jarid2b,3720,JARID2,ENSDARG00000062268,jarid2b,ARID,558456,jarid2b,109,4.44912943150829,0.893805309734513,114.0
ZDB-GENE-030131-5868,cux1a,1523,CUX1,ENSDARG00000078459,cux1a,CUT,797445,cux1a,107,3.01754385964912,0.880952380952381,114.0
ZDB-GENE-060613-1,thrab,7067,THRA,ENSDARG00000052654,thrab,THR-like,558427,thrab,105,3.91666666666667,0.793296089385475,114.0
ZDB-GENE-080220-27,zmiz1a,57178,ZMIZ1,ENSDARG00000074502,zmiz1a,zf-MIZ,561061,zmiz1a,104,1.4,0.733333333333333,114.0
ZDB-GENE-070705-340,kmt2cb,58508,KMT2C,ENSDARG00000075560,kmt2cb,HMG,568162,kmt2cb,103,1.325,0.725,114.0
ZDB-GENE-060718-1,rerea,473,RERE,ENSDARG00000077353,rerea,zf-GATA,569081,rerea,102,1.8125,0.726618705035971,114.0
ZDB-GENE-041001-139,bach2b,60468,BACH2,ENSDARG00000004074,bach2b,TF_bZIP,555350,bach2b,101,1.65,0.636363636363636,114.0
ZDB-GENE-041114-176,mllt10,8028,MLLT10,ENSDARG00000045401,mllt10,Others,492342,mllt10,100,1.52386780905753,0.727272727272727,114.0
ZDB-GENE-030131-5725,arid1ab,8289,ARID1A,ENSDARG00000101891,arid1ab,ARID,568161,arid1ab,97,1.18604651162791,0.6,114.0
ZDB-GENE-980526-72,rarab,5914,RARA,ENSDARG00000034893,rarab,THR-like,555364,rarab,94,1.90322580645161,0.709677419354839,114.0
ZDB-GENE-030131-1989,zbtb16a,7704,ZBTB16,ENSDARG00000007184,zbtb16a,ZBTB,323269,zbtb16a,92,12.8678090575275,0.974683544303797,114.0
ZDB-GENE-110411-190,aff2,2334,AFF2,ENSDARG00000052242,aff2,AF-4,100330019,aff2,92,4.98080614203455,0.9,114.0
ZDB-GENE-991110-8,tcf7l2,6934,TCF7L2,ENSDARG00000004415,tcf7l2,HMG,30510,tcf7l2,91,2.41414141414141,0.828282828282828,114.0
ZDB-GENE-081120-6,sox6,55553,SOX6,ENSDARG00000015536,sox6,HMG,567154,sox6,87,5.97757009345794,0.949872122762148,114.0
ZDB-GENE-041203-1,foxp1b,27086,FOXP1,ENSDARG00000014181,foxp1b,Fork_head,569047,foxp1b,86,6.19469026548673,0.946902654867257,114.0
ZDB-GENE-070319-1,rbpjb,3516,RBPJ,ENSDARG00000052091,rbpjb,CSL,563306,rbpjb,85,2.57142857142857,0.693121693121693,114.0
ZDB-GENE-091013-5,tead1b,7003,TEAD1,ENSDARG00000059483,tead1b,TEA,100006454,tead1b,84,2.23630136986301,0.655821917808219,114.0
ZDB-GENE-030131-8404,trps1,7227,TRPS1,ENSDARG00000104082,trps1,zf-GATA,795613,trps1,82,3.77464788732394,0.818181818181818,114.0
