Zebrafish Gene ID,Zebrafish Gene Symbol,Human Ortholog Entrez Gene Id,Human Ortholog Symbol,tf_ensembl_id,tf_gene_short_name,tf_family,tf_entrez_id,zf_symbol_key,paralog_suffix,paralog_stem,effective_gene_key,is_ab_paralog_group,n_passing_cell_types,max_avg_expr,max_frac_expr,n_observed_cell_types
ZDB-GENE-030131-1989,zbtb16a,7704,ZBTB16,ENSDARG00000007184,zbtb16a,ZBTB,323269,zbtb16a,a,zbtb16,zbtb16,True,64,12.8678090575275,0.974683544303797,114.0
ZDB-GENE-060503-246,jarid2b,3720,JARID2,ENSDARG00000062268,jarid2b,ARID,558456,jarid2b,b,jarid2,jarid2,True,58,4.44912943150829,0.893805309734513,114.0
ZDB-GENE-030131-5868,cux1a,1523,CUX1,ENSDARG00000078459,cux1a,CUT,797445,cux1a,a,cux1,cux1,True,47,3.01754385964912,0.880952380952381,114.0
ZDB-GENE-041203-1,foxp1b,27086,FOXP1,ENSDARG00000014181,foxp1b,Fork_head,569047,foxp1b,b,foxp1,foxp1,True,46,6.19469026548673,0.946902654867257,114.0
ZDB-GENE-060613-1,thrab,7067,THRA,ENSDARG00000052654,thrab,THR-like,558427,thrab,b,thra,thra,True,46,3.91666666666667,0.793296089385475,114.0
ZDB-GENE-081120-6,sox6,55553,SOX6,ENSDARG00000015536,sox6,HMG,567154,sox6,,sox6,sox6,False,41,5.97757009345794,0.949872122762148,114.0
ZDB-GENE-070112-292,ebf3a,253738,EBF3,ENSDARG00000099849,ebf3a,COE,565310,ebf3a,a,ebf3,ebf3,True,40,12.4,1.0,114.0
ZDB-GENE-010621-1,zeb1b,6935,ZEB1,ENSDARG00000013207,zeb1b,zf-C2H2,114425,zeb1b,b,zeb1,zeb1,True,38,7.46666666666667,0.933333333333333,114.0
ZDB-GENE-110411-190,aff2,2334,AFF2,ENSDARG00000052242,aff2,AF-4,100330019,aff2,,aff2,aff2,False,36,4.98080614203455,0.9,114.0
ZDB-GENE-990706-8,gli2a,2736,GLI2,ENSDARG00000025641,gli2a,zf-C2H2,30154,gli2a,a,gli2,gli2,True,30,3.92378048780488,0.935975609756098,114.0
ZDB-GENE-030131-4368,znf423,23090,ZNF423,ENSDARG00000059707,ZNF423,zf-C2H2,566696,znf423,,znf423,znf423,False,30,2.74455899198167,0.827033218785796,114.0
ZDB-GENE-050208-501,nfia,4774,NFIA,ENSDARG00000062420,nfia,CTF/NFI,556665,nfia,a,nfi,nfia,False,29,3.34872979214781,0.760869565217391,114.0
ZDB-GENE-030131-5784,bnc2,54796,BNC2,ENSDARG00000069989,bnc2,zf-C2H2,559327,bnc2,,bnc2,bnc2,False,28,3.78698224852071,0.84,114.0
ZDB-GENE-030131-8404,trps1,7227,TRPS1,ENSDARG00000104082,trps1,zf-GATA,795613,trps1,,trps1,trps1,False,28,3.77464788732394,0.818181818181818,114.0
ZDB-GENE-060718-1,rerea,473,RERE,ENSDARG00000077353,rerea,zf-GATA,569081,rerea,a,rere,rere,True,24,1.8125,0.726618705035971,114.0
ZDB-GENE-050114-2,lmx1bb,4010,LMX1B,ENSDARG00000068365,lmx1bb,Homeobox,554360,lmx1bb,b,lmx1b,lmx1b,True,23,15.0526315789474,1.0,114.0
ZDB-GENE-080220-27,zmiz1a,57178,ZMIZ1,ENSDARG00000074502,zmiz1a,zf-MIZ,561061,zmiz1a,a,zmiz1,zmiz1,True,20,1.4,0.733333333333333,114.0
ZDB-GENE-041111-162,gli3,2737,GLI3,ENSDARG00000052131,gli3,zf-C2H2,403042,gli3,,gli3,gli3,False,19,3.27385892116183,0.740493662441628,114.0
ZDB-GENE-000607-13,sox5,6660,SOX5,ENSDARG00000011582,sox5,HMG,567413,sox5,,sox5,sox5,False,18,5.6,0.95,114.0
